a-i わーい
aioinu ワイオミング
aiii ワイキキ
aiiii-i ワイキキビーチ
aieu ワイゲル
aiau ワイシャツ
aiu ワイス
aiuoun ワイスホルン
aiuea- ワイツゼッカー
aio ワイド
aioo- ワイドショー
aia- ワイパー
aii-euoaeu ワイビーエストラベル
aiu ワイフ
aia-u ワイマール
aia-u ワイマール
aia ワイヤ
aiaeu ワイヤレス
aioo ワイヨット
aiu ワイル
aiuo- ワイル病
aiai ワイワイ
ain ワイン
aina-a- ワインバーガー
ainueio ワインブレヒト
aian ワイ談
aa ワカ
aaai ワカサギ
aae ワカメ
aao ワカ子
aia ワキタ
ain ワキン
auin ワクチン
auau ワクワク
aei ワケギ
ao-u ワコール
ao-eni ワコー電子
aou ワコム
aon ワゴン
aai ワサビ
aaia ワサビ田
aa ワザ
ai ワシ
aiuiai ワシズ機械
ainon ワシントン
ainonuuen ワシントン靴店
aueua ワスレグサ
auenaua ワスレナグサ
ae ワセ
aein ワセリン
aa ワタ
aau-eioa ワタキューセイモア
aaui ワタツミ
aanae ワタナベ
aanaeu-au ワタナベフーマック
aao- ワタヒョウ
aaeeinu ワタベウェディング
aaiu-oa-iu ワタミフードサービス
aaioi ワタリドリ
aaeiai ワッカケ岬
aaaauaa ワッカタサップ川
auu ワックス
aeuananno- ワッセルマン反応
au ワッツ
ao ワット
aoani ワットマン紙
aaaa-u ワッハハマーク
auu ワッフル
aen ワッペン
aoun ワトスン
aoon ワトソン
ana ワナ
ani ワニ
ani ワニ
aniae ワニザメ
aniu ワニス
aniuuu ワニブックス
aniaaina ワニマガジン社
aiue ワビスケ
au ワム
aa ワラ
aaiae ワライダケ
aaa ワラサ
aaiui ワラジムシ
aai ワラビ
aano ワラント
aio- ワリコー
aio-io-ien ワリコー偽造事件
aiin ワリシン
aiani ワリ谷
au ワル
auiaa ワルイ川
auaa ワルシャワ
auaao-auio- ワルシャワ条約機構
auai ワルタリ
auu ワルツ
auan ワルマン
aea ワレサ
aeoo- ワレモコウ
aenniou ワレンニコフ
aena-u ワレンバーグ
an ワン
anau ワンカップ
aneu ワンゲル
anaioe-u ワンサイドゲーム
anueu ワンステップ
aneo ワンセット
anai ワンタッチ
anan ワンタン
ana-o-eu ワンダーフォーゲル
anauu ワンダフル
ananu ワンチャンス
anu-iniu ワンツーフィニッシュ
aneno ワンテンポ
anaa-n ワンパターン
ani-u ワンピース
anan ワンマン
anu-u ワンルーム
aio- ワ機構
ao-au ワ条約
o ヲ
oieaa ヲヒテ川
o-ae ヲヲガケ
n ン
naena ンジャメナ
