a や
aiaeeu やりかえせる
aiai やりがい
aiienai やりきれない
aioeu やりこめる
aiuou やりすごす
aiuoeu やりすごせる
aianai やりっ放し
aioeu やりとげる
ainaou やりなおす
ainaoeu やりなおせる
aiuou やり過ごす
aiuou やり過す
aiaa やり玉
aiui やり口
aiau やり合う
aioeu やり込める
aioi やり取り
aie やり手
aia やり場
aioeu やり遂げる
aiienai やり切れない
ainaoi やり直し
ainae やり投げ
aiaeu やり返す
aiaa やり方
au やる
auenai やるせない
aui やる気
aeae やれやれ
aeu やれる
aa やわ
aai やわい
aaa やわか
aaaai やわらかい
aaaeu やわらげる
ae やゑ
aeo やゑこ
aeno やゑの
aeo やゑ子
ao やを
anoonai やんごとない
ana やんちゃ
anai やんわり
a- やァ
aeo や江子
uiaeu ゆいあげる
u- ゆう
uu ゆう
u-u-o-a-iueu ゆうＹＯＵオーダーシステム
u-i ゆう美
ue ゆえ
ue ゆえ
ueu ゆえる
uen ゆえん
ua ゆか
uaii ゆかしい
uaa ゆかた
uai ゆかり
uai ゆかり
uau ゆがく
uai ゆがみ
uaeu ゆがめる
ui ゆき
ui ゆき
uiau ゆきあう
uiaau ゆきあたる
uie ゆきえ
uiau ゆきかう
uio ゆきこ
uiuiu ゆきすぎる
uiuu ゆきつく
uiuau ゆきづまる
uioou ゆきとどく
uinaau ゆきなやむ
uino ゆきの
uii ゆきみ
uio ゆきよ
uiaau ゆきわたる
uie ゆきゑ
uie ゆき江
uio ゆき子
uu ゆく
uuuu ゆくゆく
uuinau ゆくりなく
ueu ゆける
uauu ゆさぶる
uaueu ゆさぶれる
uaua ゆさゆさ
uuu ゆすぐ
uuuu ゆすぶる
uuu ゆする
uuu ゆする
uu ゆず
uuiau ゆずりあう
uueu ゆずれる
uuo ゆず子
uaa ゆたか
uaa ゆたか
uaneu ゆだねる
uau ゆだる
uainu-o ゆだ錦秋湖
uao-en ゆだ高原
uui ゆっくり
uuio ゆっくりと
uai ゆったり
uuo ゆつこ
uuo ゆつ子
ueoou ゆでこぼす
ueu ゆでる
ueao ゆでダコ
ueao ゆで蛸
uoi ゆとり
unouninooi ゆのくにの森
unounieno- ゆのくに天祥
uiu ゆびく
uiau ゆびさす
uionua ゆびほんむら
uuo-enen ゆふ高原線
ui ゆみ
uio ゆみこ
uiiu ゆみひく
uiu ゆみる
uio ゆみ子
ue ゆめ
ueaoa ゆめが丘
ueaa ゆめさら
ueiu ゆめみる
ueinoiai ゆめみ野東
ueue ゆめゆめ
ueaun ゆめタウン
ueauniuino ゆめタウン筑紫野
uuii ゆゆしい
uai ゆらい
uai ゆらぎ
uau ゆらぐ
uau ゆらす
uaeu ゆらせる
uaei ゆらめき
uaeu ゆらめく
uaua ゆらゆら
uai ゆらり
uaio ゆらりと
ui ゆり
ui ゆり
uiuoau ゆりうごかす
uiuoaeu ゆりうごかせる
uie ゆりえ
uioou ゆりおこす
uia ゆりか
uiaoa ゆりが丘
uinoiai ゆりのき台
uinoai ゆりの台
uia ゆり香
uio ゆり子
uu ゆる
uui ゆるい
uuau ゆるがす
uuu ゆるぐ
uuu ゆるす
uuue ゆるずめ
uuueeiii ゆるずめ型式
uueu ゆるせる
uuau ゆるまる
uueu ゆるめる
uuaa ゆるやか
uuuu ゆるゆる
uuio ゆるりと
ueuou ゆれうごく
ueu ゆれる
ua ゆわ
uaeueu ゆわえつける
uaeueu ゆわえ付ける
uau ゆわく
uau ゆ着
o よ
o-u よーく
o-i よーし
oi よい
oi よい
oio よいしょ
oiieu よいしれる
oiuueu よいつぶれる
oioae よいとまけ
oioi よいよい
o- よう
o- よう
ou よう
ou よう
o-o ようこ
o-oouu よう度ホルム
oeu よえる
o- よお
oau よがる
oinai よぎない
oiu よぎる
ou よく
ouuu よくする
ouei よくせき
ounau よくなる
ouau よくばる
ouo よくも
ouou よくよく
oei よけい
oei よけい
ooiu よこぎる
ooieu よこぎれる
ooia よこしま
oou よこす
ooui よこずき
ooaeu よこたえる
ooaau よこたわる
ooio よこ糸
oou よごす
ooeu よごれる
oi よし
oi よし
oi よし
oi よし
oiai よしあし
oii よしい
oie よしえ
oio よしこ
oiaa よしざわ
oi' よしっ
oio よしと
oinai よしない
oinoi よしのり
oiio よしひろ
oii よしみ
oii よしみ
oa よしゃ
oiiniau よしりん企画
oie よしゑ
oio よしを
oina よしんば
oie よし江
oio よし子
oie よし枝
oii よし美
oino よし野
oinoou よじのぼる
oinooeu よじのぼれる
oiu よじる
oieu よじれる
oinoou よじ登る
oinooeu よじ登れる
ou よす
oeaeu よせかける
oeueu よせつける
oeu よせる
oo よそ
oo よそ
oou よそう
ooeu よそえる
ooou よそおう
oooeu よそおえる
ooia よそみや
ooon よそもん
ooooii よそよそしい
ooi よそ見
ooii よそ行き
ooui よそ行き
oooo よそ事
ooono よそ者
ooe よそ目
oaoa よたよた
oau よたる
oau よだつ
oaeae よだれかけ
oioi よちよち
ooao よっこらしょ
oa よっしゃ
oanouino-o- よっちゃん食品工業
oaau よっぱらう
oaaeu よっぱらえる
oie よっぴて
ooo よっぽど
ouano-o- よつば農業
ounai よつん這い
ouo よつ子
oua よつ葉
ouu よづく
oo よど
oo-i よどおし
ooi よどみ
oou よどむ
ooo-ien よど号事件
onaeu よなげる
onaona よなよな
onaeu よなれる
oni よに
one よね
oneo よね子
oanaeu よばなれる
oaeu よばれる
oaau よばわる
oiaeu よびあげる
oiieu よびいれる
oioou よびおこす
oiaeu よびかける
oioeu よびこめる
oiaeu よびさけぶ
oiaau よびさます
oiaeu よびたてる
oiau よびだす
oiaeu よびだせる
oiueu よびつける
oioeu よびとめる
oioou よびもどす
oiooeu よびもどせる
oioeu よびよせる
oina よび名
ou よぶ
oeu よべる
oo- よぼう
oooo よぼよぼ
oiaeu よみあげる
oiaaeu よみあわせる
oiui よみうり
oiuiano よみうりランド
oiaeu よみかえす
oiaeu よみかける
oiaeu よみがえる
oiiu よみきる
oioeu よみこめる
oiau よみさす
oiuu よみする
oiau よみだす
oio-u よみとおす
oioeu よみとれる
oinaau よみながす
oinaaeu よみながせる
oiueu よみふける
oiauu よみやぶる
oiaeu よみわける
ou よむ
oeu よめる
oo よも
ooiai よもぎ台
oouaa よもすがら
ooa よもや
ooaaanai よもやま話
ooo よよと
oi より
oiau よりあう
oiaau よりかかる
oio よりこ
oiuau よりすがる
oioeu よりそえる
oiaou よりたおす
oiuu よりつく
oinioe よりによって
oinueu よりぬける
oioi よりより
oiaeu よりわける
oie より江
oio より子
oiio より糸
oinuu より抜く
oinueu より抜ける
oiaeu より分ける
oie より目
ou よる
oeoe よれよれ
oeu よれる
ooi よろい
ooio よろい戸
oou よろう
ooe よろけ
oooeu よろこべる
ooii よろしい
ooiu よろしく
oouaano- よろづや観光
ooeu よろめく
oooo よろよろ
oai よわい
oaiuu よわいする
oaau よわまる
oaeu よわめる
oaoaii よわよわしい
oau よわる
oi よ志
oino よ志の
oie よ志ゑ
oio よ志子
oneo よ禰子
oua よ邑
a-a-a- ヤーザーガー
a-u ヤール
ai ヤイ
aiaio- ヤイタイ島
aio ヤイ子
auueuaa ヤウシュベツ川
aune ヤウンデ
aunnouo- ヤウンノウ島
ae ヤエ
aeaua ヤエザクラ
aeuua ヤエムグラ
aeo ヤエ子
aoo- ヤオコー
aoan ヤオハン
aoanaan ヤオハンジャパン
aooauae ヤオロマップ岳
aai ヤガイ
aai ヤガミ
aiio ヤキイモ
aiai ヤキ崎
ai ヤギ
ai ヤギ
aio-oe-on ヤギコーポレーション
aiiaeni ヤギシタ電機
au- ヤギュウ
au ヤク
au-uu ヤクーツク
auo- ヤクオー
auaooiae ヤクカチョボシ岳
aua ヤクザ
auin ヤクシン
auuo ヤクルト
auuu ヤク物
aui ヤグチ
aua ヤグラ
auuao- ヤグルマソウ
aeai ヤケっぱち
aeuueiai ヤケクズレ岬
aeuo ヤケ糞
ao-u- ヤコウチュウ
aoi ヤコビ
aou ヤコフ
aoueu ヤコブレフ
ao ヤゴ
aan ヤサン
ai ヤシ
ai ヤジ
aiu ヤジる
aia ヤジマ
au ヤス
aue ヤスエ
auai ヤスサキ
aui ヤスシ
auaaine ヤスダファインテ
aue ヤスデ
auno ヤスノ
auaaeiau ヤスハラケミカル
auun ヤスブン
aue ヤスヱ
auo ヤス子
ae ヤセ
aoinua ヤソシ沼
aoiaa ヤソシ川
aou ヤゾフ
aa- ヤダー
ao ヤチョ
aio ヤチ子
au ヤック
ae ヤッケ
aa- ヤッター
au ヤップ
au ヤツ
auaia ヤツガシラ
aue ヤツデ
aueunai ヤツメウナギ
aoai ヤドカリ
aoii ヤドリギ
ana-eu ヤナーエフ
anai ヤナギ
anaen ヤナゲン
anae ヤナセ
anaeoinaa ヤナセ沖縄
ani ヤニ
aniu ヤニブ
anou ヤノフ
aai ヤハギ
aaneuo-u ヤバネスポーツ
aiuo-e ヤビツ峠
au- ヤフー
au ヤブ
aua ヤブカ
auaai ヤブガラシ
auo-i ヤブコウジ
auiai ヤブジラミ
auinui- ヤブリンスキー
au ヤプ
ae ヤヘ
aeuaa ヤベツ坂
ao ヤボ
aa ヤマ
aaaai ヤマアラシ
aainu ヤマイヌ
aaio ヤマイモ
aau ヤマウ
aaua ヤマウラ
aaeiano ヤマエ久野
aaaai ヤマカガシ
aaaa ヤマガラ
aai ヤマキ
aaiiuuaaiooaoieni ヤマギシズム社会豊里実顕地
aaia ヤマギワ
aauouin ヤマク食品
aao- ヤマコー
aaa ヤマサ
aaan ヤマサン
aaai ヤマザキ
aaaa ヤマザワ
aaiao-oe-on ヤマシタコーポレーション
aau ヤマス
aaane ヤマタネ
aaanoooi ヤマタノオロチ
aaa ヤマダ
aaao-inen ヤマダ洋品店
aaiu ヤマチク
aauu ヤマックス
aau ヤマツ
aaoouuo- ヤマト特殊鋼
aaoi ヤマドリ
aanaa ヤマナカ
aanoio ヤマノイモ
aaa ヤマハ
aaaauo-i ヤマハ発動機
aaai ヤマバチ
aauo- ヤマブドウ
aauau ヤマプラス
aao-i ヤマボウシ
aaau ヤママユ
aaoi ヤマモリ
aaao-oe-on ヤマヤコーポレーション
aao ヤマヨ
aaan ヤマ勘
aaa ヤマ場
ai ヤミ
aioe ヤミ米
auuuo ヤムスクロ
aoi ヤモリ
auu ヤユク
ao ヤヨ
aoi ヤヨイ
aoiouin ヤヨイ食品
aoe ヤヨエ
aae ヤラセ
ai ヤリ
aiia ヤリイカ
aua ヤルタ
auaou ヤルバコフ
aeae ヤレヤレ
aen ヤレン
ao- ヤロー
aa ヤワ
aaa ヤワラ
ae ヤヱ
aeai ヤヱガキ
ao ヤヲ
an ヤン
anaaa ヤンカ山
ani- ヤンキー
ani-u ヤンキース
anu ヤング
anuaiau ヤング開発
anenua ヤンケ沼
anon ヤンゴン
aneno-a ヤンセン協和
aneuieu ヤンデルビエフ
aneauaa ヤンペタップ川
ana ヤンマ
anaai ヤンマ崎
aneiu ヤンメイズ
u-aieni ユーアイ電子
u-oian ユーロピアン
ua-u ユアーズ
uaaunaou ユアサ・フナショク
uaao-i ユアサ商事
uaeu ユアテック
ui ユイ
uie ユイエ
u- ユウ
uiiniiana ユウィリンジイマナ
u-uu ユウウツ
u-u- ユウユウ
uuou-u ユウロピウム
u-o ユウ子
ue ユエ
ua ユカ
uaan ユカタン
uai ユカリ
ui ユキ
uie ユキエ
uio ユキオ
uio ユキコ
uino ユキノ
uinoe ユキノ瀬
uiie ユキヒデ
uiio ユキヒロ
uianai ユキヤナギ
uia ユキワ
uiaio- ユキワリソウ
uie ユキヱ
uio ユキ子
uuiiooanaiaa ユクリイオロマナイ沢
uo- ユゴー
uaaao-i ユザワヤ商事
uioaauo-o- ユシロ化学工業
uinoaainuu ユジノサハリンスク
uuaae ユスガ碆
uuou ユスポフ
uuaue ユスラウメ
uu ユズ
uuia ユズリハ
ua ユタ
uaa ユタカ
uaao-ai ユタカ商会
uaa ユダヤ
ua ユッカ
ue ユッケ
uo ユッコ
uo- ユトー
uoeio ユトレヒト
unaieo ユナイテッド
uni ユニ
uniua- ユニ・スター
unia-u ユニ・チャーム
uni- ユニー
uni-oaie- ユニードダイエー
uniiiaiaa ユニイシカリ川
union ユニオン
uniono-i ユニオン商事
unia ユニカ
union ユニコン
uniiu ユニシス
unieu ユニセフ
uniai ユニタリ
uniauu ユニダックス
uniia ユニチカ
uniu ユニック
uniuu ユニックス
unio ユニット
uni'i- ユニティー
unien ユニデン
unia-au ユニバーサル
unia-u ユニバース
uniau ユニパック
uniai ユニファイ
unio-u ユニフォーム
unio-u ユニホーム
uniaooiuo ユニマットオフィスコ
uniaoeiu ユニマットレディス
uniiiaiae ユニ石狩岳
unuu ユヌス
uneuo ユネスコ
uneuoua ユネスコ村
ua ユマ
uanie ユマニテ
ui ユミ
uio ユミコ
uio ユミ子
ue ユメ
uaua ユラユラ
ui ユリ
ui ユリ
uiani ユリアニ
uiuu ユリウス
uia ユリカ
uio ユリ子
uuia ユルギ碆
uuio- ユルリ島
unuuau ユングフラウ
o ヨ
o-ao- ヨーカドー
o-oian'union ヨーロピアン・ユニオン
oiaiua ヨイマチグサ
ou ヨウ
o-ei ヨウエキ
o-o ヨウ子
ooiaana ヨオリケ鼻
ooiaana ヨオリヶ鼻
oa ヨガ
oi ヨキ
oioiaa ヨギトギ沢
oo ヨコ
ooo ヨコオ
oouao-in ヨコクラ病院
ooieuaa ヨコシベツ川
ooao-oe-on ヨコタ・コーポレーション
ooaa ヨコハマ
ooaauanoina-oninenauoeu ヨコハマグランドインターコンチネンタルホテル
ooai ヨコバイ
ooau ヨコマク
ooei ヨコレイ
ooeia ヨゴセ島
oi ヨシ
oi ヨシ
oii ヨシイ
oie ヨシエ
oio ヨシオ
oiaa ヨシカワ
oion ヨシコン
oiua ヨシズヤ
oiae ヨシタケ
oia ヨシダ
oiaenen ヨシダ宣伝
oino ヨシノ
oinooi ヨシノボリ
oiaie ヨシハ池
oiio ヨシヒロ
oii ヨシミ
oiooo-u ヨシモトポール
oiaauue ヨシワラスズメ
oie ヨシヱ
oie ヨシ江
oio ヨシ子
ou-uini ヨジウムチンキ
oaa ヨタカ
oioi ヨチヨチ
oo ヨット
oiaa ヨッピ川
ou ヨツ
ouaano- ヨツワ産業
ouo ヨツ子
oo-ui ヨトウムシ
ooaiaea ヨドバシカメラ
one ヨネ
oneua ヨネクラ
oneo ヨネ子
ono ヨノ
oane ヨハネ
oan'oau ヨハンオラフ
ouooi ヨブコドリ
oi ヨミ
oena ヨメナ
ooi ヨモギ
ooian ヨモギ山
oi ヨリ
oi ヨリ
oiiiai ヨリキ岬
oio ヨリ子
ouao ヨルガオ
ouan ヨルダン
ouanaa ヨルダン川
oeoe ヨレヨレ
ooiu ヨロシク
oou ヨロズ
onaueaa ヨンカシュッペ川
onu- ヨンキュウ
onau ヨンサム
onoaiai ヨントマリ崎
one ヨ子
