a ?あ
aiuu ありつく
aioaauu ありとあらゆる
ainoaaa ありのまま舎
ainoi ありのみ
aiueu ありふれる
aia ありま
aa ありゃ
aaa ありゃりゃ
aiaaeu あり合せる
aiaa あり方
au ある
au ある
auao-o あるかぽーと
auiuaeu あるきつかれる
auiaaeu あるきまわれる
auu あるく
aueu あるける
aui あるじ
aua あるは
auoi ある時
aueio ある程度
aui ある日
ae あれ
ae あれ
ae- あれー
aeuuu あれくるう
aeoe あれこれ
aeii あれしき
aeae あれだけ
aeoaeo あれよあれよ
aeano あれらの
aeu あれる
aee あれれ
aeo- あれ性
aeaa あれ肌
aa あわ
aa あわ
aai あわい
aaau あわさる
aau あわす
aaeu あわせる
aaeu あわせ酢
aaaaii あわただしい
aaau あわだつ
aaaeu あわだてる
aaeuaeu あわてふためく
aaeu あわてる
aai あわび
aaa あわや
aaoua あわよくば
aaa あわら
aaauanooeu あわらグランドホテル
aaeau あわれがる
aaeu あわれむ
aaa あわわ
aaau あわ立つ
aeo あゑ子
an あん
anai あんがい
anui あんぐり
ano あんこ
anou あんこう
anoooi あんころ餅
anan あんさん
anin あんしん
aniu あんじる
anu あんず
anuu あんずる
ana あんた
anoo あんちょこ
anenaenu-iu あんてな編集室
ano あんど
anna あんな
annani あんなに
annau-ni あんなふうに
anni あんに
annoo- あんのじょう
anan あんぱん
anonan あんぽんたん
anai あんまり
an'u あんゆ
ana あん馬
anun あん分
ana あん摩
a' あッ
aio あ衣子
aiiu-u- あ式蹴球
aen あ然
i-e いーえ
i-aen いーかげん
i-aen いーかげん
iaaeu いあわせる
i-au いいあう
i-aaeu いいあわせる
i-e いいえ
i-ou いいおく
i-oau いいおわる
i-aeu いいかえす
i-oeu いいこめる
i-ueu いいすてる
i-oieu いいそびれる
i-aeu いいたてる
i-au いいだす
i-aeu いいだせる
i-io いいちこ
i-unou いいつのる
i-naou いいなおす
i-noou いいのこす
i-anau いいはなす
i-uuu いいふるす
i-auu いいまくる
i-oau いいもらす
iiooio いいよこいよ
i-oou いいよどむ
i-oeu いいよれる
i-ae いいわけ
i-aaeu いいわたせる
i-aen いい加減
i-i いい気
i-aaau いい表す
iu いう
uu いう
uunaea いうなれば
ie いえ
ieie いえいえ
ieu いえる
ia いか
ia いか
iaaaii いかがわしい
iaeu いかける
iaaa いかさま
iau いかす
iaa いかだ
iaui いかつい
iae いかで
ianau いかなる
iani いかに
ianio いかにも
iaeii いかめしい
iaau いからす
iaaeu いからせる
iai いかり
iaiaa いかり肩
iau いかる
iaua いかるが
iaeu いかれる
ianen いかんせん
iannau いかんなく
iaui いがぐり
iaiau いがみあう
iaiau いがみ合う
iau いがむ
iaaoi いがらっぽい
ii いき
ii いき
iiaau いきあたる
iiiiena- いきいきセンター
iioi いきおい
iioiueu いきおいづける
iia いきか
iiaeeu いきかえれる
iiau いきがる
iiuuii いきぐるしい
iiou いきごむ
iiau いきさつ
iiuiu いきすぎる
iieiiu いきせききる
iiiau いきちがう
iiuu いきつく
iiueu いきつける
iiuu いきづく
iiuau いきづまる
iioou いきとどく
iio-u いきどおる
iinaaaeu いきながらえる
iinai いきなり
iinuu いきぬく
iinueu いきぬける
iinoou いきのこる
iinoiu いきのびる
iiau いきばる
iiau いきまく
iiu いきむ
iiiau いきりたつ
iiiau いきり立つ
iiu いきる
iiaau いきわたる
iiaa いき方
iianai いぎたない
iu いく
iu いく
iu いく
iuenio いくえにも
iuo いくこ
iua いくさ
iuoau いくそばく
iua いくた
iuu いくつ
iuua いくつか
iuun いくぶん
iui いくみ
iuo いくよ
iua いくら
iuaeo いくらでも
iue いく江
iuo いく子
iue いく重
iuo いく代
iuun いく分
ieui いけうち
iea-a- いけしゃあしゃあ
ieuanai いけすかない
ieu-u-ii いけずうずうしい
ieonai いけぞんざい
ieou いけどる
ieoeu いけどれる
ieu いける
ieuanai いけ好かない
ieu-u-ii いけ図々しい
ieu-u-ii いけ図図しい
ioi いこい
ioinoua いこいの村
iou いこう
iou いこう
iooeu いこぼれる
iou いこむ
iooi いごこち
ia いさ
ia いさ
iae いさえ
iao いさお
iaioi いさぎよい
iao いさこ
iano いさの
iaaii いさましい
iai いさみ
iaiai いさみ足
iau いさむ
iau いさむ
iaeu いさめる
iao いさよ
iaou いさよう
iao いさを
iao いさ子
ia いざ
iaoa いざこざ
iaoi いざとい
ianau いざなう
ianaieii いざなぎ景気
iau いざる
iiuo いしくも
iio いしこ
iia いしだ
iio いし子
iiii いじいじ
iiianai いじきたない
iiuu いじくる
iieu いじける
iiaii いじましい
iie いじめ
iieu いじめる
iiaii いじらしい
iii いじり
iiu いじる
iu いす
iuu いすゞ
iuuio-a いすゞ自動車
iuuau いすくまる
iuueu いすくめる
iuien いすみ線
iuu いする
iuau いすわる
iuaeu いすわれる
iuuno いずくんぞ
iui いずみ
iuino いずみ野
iuono-o- いずも農業
iue いずれ
ieei いせえび
ieno いせの
ieieui いせり恵
ieo いせ子
io いそ
ioio いそいそ
ioaa いそかわ
ioaii いそがしい
ioau いそがす
ioiai いそぎ足
iouai いそくさい
iou いそぐ
ioeu いそげる
ioiu いそしむ
iono いその
ioo いそ子
iai いたい
iaie いたいけ
iaiaii いたいたしい
iau いたく
iaiaa いたし方
iau いたす
iaua いたずら
iauaai いたずら書き
iaaaanai いたたまらない
iaaaenai いたたまれない
iaau いただく
iaaeu いただける
iaioo いたちごっこ
iae いたって
iaui いたつき
iauu いたぶる
iaaii いたましい
iaiiu いたみいる
iau いたむ
iae いため
iaeu いためる
iaa いたや
iau いたる
iaaii いたわしい
iaau いたわる
iaoo いた事
iau いだく
iaeu いだける
iaenaii いだてん走り
iiino いちい野
iiinoia いちい野北
iien いちえん
iio- いちおう
iiaini いちがいに
iiiii いちきしり
iien いちげん
iioi いちこし
iio いちご
iioauo いちご白書
iiiu いちじく
iiiuii いちじるしい
iiano いちだんと
iiueu いちづける
iioini いちどきに
iioni いちどに
iino いちの
iiaai いちはやい
iiaau いちはやく
iian いちばん
iauu いちゃつく
iaon いちゃもん
iou いちょう
io-nae いちょう鍋
io-eno- いちょう弁当
iio いちよ
iio- いちろう
iioi いち押し
iio いち子
iiaai いち早い
iiaau いち早く
iana いっかな
iini いっきに
ien いっけん
io- いっこう
io-ni いっこうに
io いっしょ
iinni いっしんに
iu いっす
iuu いっする
ieini いっせいに
ien いっせん
ien いっせん
io いっそ
iai いったい
iaienai いったい全体
ian いったん
io いっちょ
io- いっちょう
iuo いっつも
ioi いっとき
ioini いっときに
iai いっぱい
iai いっぱい
iai いっぱし
ien いっぺん
ienni いっぺんに
io- いっぽう
ieu いっ血
iu いつ
iuo いつお
iua いつか
iuaia いつかしら
iuu いつく
iuuiu いつくしむ
iuia いつしか
iuoa いつぞや
iuno いつの
iunoania いつの間にか
iuuu いつぶす
iui いつみ
iuo いつよ
iuau いつわる
iuo いつ子
iu いづ
iuuno いづくんぞ
iui いづみ
ieuu いてつく
ieu いてる
ieau いでたつ
ieu いで湯
io いと
io- いとう
iou いとう
iou いとう
io-ii いとおしい
iooii いとおしい
io-iu いとおしむ
iouo-aeoinuena- いとく大館ショッピングセンター
ioenai いとけない
ioo いとこ
ioii いとしい
ioo いとど
iooi いとどい
ionau いとなむ
ioeu いとめる
ioo いとも
ioaii いとわしい
ioe いとゑ
ioo いと子
iou いどむ
inaou いなおる
inaa いなか
inaaono いなか者
inaaaniie いながらにして
inaea いなげや
inao いなご
inau いなす
inae いなせ
inae いなせ
inanau いななく
inao いなほ
inau いなむ
inao いなよ
inaau いならぶ
inaiui いなりずし
inao いな子
iniie いにしえ
iniie いにしへ
inu いぬ
inu いぬ
ine いね
ine いね
ineo いね子
inoue いのうえ
inoou いのこる
inooeu いのこれる
inoi いのち
inou いのる
inoeu いのれる
inoiian いの一番
iao いはほ
iaeu いばえる
iaa いばら
iaai いばら木
iau いばる
iaeu いばれる
iii いびき
iiu いびつ
iiiau いびりだす
iiiau いびり出す
iiu いびる
iiaa いび川
iu いふ
uu いふ
iuaii いぶかしい
iuau いぶかる
iuino いぶき野
iuu いぶく
iuiin いぶし銀
iuu いぶす
iuei いぶせい
iuu いぶる
io いぼ
ia いま
iaiaii いまいましい
iaieu いましめる
iaani いまだに
iaoi いまどき
iani いまに
ianio いまにも
iaiou いまひとつ
iaae いままで
iaeai いまめかい
iaa いまや
iaa いまわ
iaaii いまわしい
iaiou いま一つ
iii いみい
iiiau いみきらう
iiiuo いみじくも
iiueu いみづける
iio いみ子
iu いむ
io いも
ioi いもち
iouuii いもづる式
ioui いもむし
ioi いもり
ia いや
ia いや
ia- いやー
ia- いやあ
iaia いやいや
iaianaaa いやいやながら
iao-naini いやおうなしに
iaaae いやがらせ
iaau いやがる
iaii いやしい
iaieu いやしめる
iau いやす
iaeu いやせる
iaio いやちこ
iani いやに
iaaau いやまさる
iaau いやます
iaaii いやらしい
iao-nai いや応なし
io いよ
ioeuoo- いよてつそごう
iono いよの
ioo いよよ
ioo いよ子
iau いらう
iaeaeu いらせられる
iaaaii いらだたしい
iaaeu いらだてる
iai いらち
iaai いらっしゃい
iaau いらっしゃる
iaai いら立ち
iaau いら立つ
iiaau いりかわる
iiuu いりくむ
iio いりこ
iiou いりこむ
iiueu いりつける
iiiau いりびたる
iiaiu いりまじる
iiiaeu いりみだれる
iioi いり干し
iio いり子
iu いる
iu いる
ieaeu いれあげる
ieaaeu いれあわせる
ieaeu いれかえる
ieaaeu いれかわれる
ieiau いれちがう
ienaou いれなおす
ieu いれる
ioaeu いろあせる
ioio いろいろ
iooi いろこい
iooi いろっぽい
iouu いろづく
ioou いろどる
iooeu いろどれる
ioa いろは
ioao- いろは堂
ioeu いろめく
ionna いろんな
iau いわう
iaeu いわえる
iai いわき
iaieieiaiau いわき明星大学
iau いわく
iauui いわく付き
iaenai いわけない
iaai いわさき
iaaioeuu いわさきホテルズ
iai いわし
iaiuo いわし雲
iau いわす
iaeeiau いわて生活
iaa いわば
iaoo いわもと
iauu いわゆる
iae いわれ
ian'a いわんや
iao いわ子
iniuai いんきくさい
ininuei いんぎん無礼
inenae いんげん豆
ino-ueu いんしょうづける
inuu いんする
inii いんちき
inna-oiu いんなあとりっぷ
inno- いんにょう
inei いん石
ionin い音便
ii い志
iua い草
io い藤
u う
u-u うーむ
u-n うーん
ui うい
uiuiii ういういしい
u-n ううん
ue うえ
ueou うえこむ
ueoeu うえこめる
ueueu うえつける
ueno うえの
ueu うえる
uoaieia うおがし銘茶
uonoe うおの目
uou うお秀
uaia うかいや
uaau うかがう
uaaeu うかがえる
uaaeu うかされる
uau うかす
uau うかつ
uao うかと
uaiaau うかびあがる
uaiaaeu うかびあがれる
uau うかぶ
uaeu うかべる
uau うかる
uaeau うかれだす
uaeu うかれる
uanui うかんむり
uau うがつ
uiaau うきあがる
uiaaeu うきあがれる
uiaiau うきあしだつ
uiau うきたつ
uiaeu うきたてる
uiau うきだす
uieu うきでる
uia うきは
uiou うきドック
uu うく
uuiu うぐいす
uuiuai うぐいす台
uuiaiaa うぐい滝川
ueau うけあう
ueaeu うけあえる
ueieu うけいれる
ueou うけおう
ueoeu うけおえる
ueaaau うけたまわる
ueau うけだす
ueaeu うけだせる
ueuu うけつぐ
ueueu うけつげる
ueoeu うけとめる
ueoeu うけとれる
uenaau うけながす
uenaaeu うけながせる
ueiu うけひく
ueou うけもつ
ueoeu うけもてる
ueu うける
uoau うごかす
uou うごく
uoeu うごける
uoeau うごめかす
uoeu うごめく
ua うさ
uai うさぎ
uai うさぎ
uan'i うさんい
uanuai うさんくさい
ui うし
uinau うしなう
uiouai うしろぐらい
uioai うしろ足
ui うじ
uaua うじゃうじゃ
uiui うじ虫
uuae うすあげ
uui うすい
uuiiaui うすきみわるい
uuianai うすぎたない
uuuai うすぐらい
uuuu うすずく
uuea うすっぺら
uuau うすまる
uueu うすめる
uuau うすらぐ
uuaaui うすら寒い
uueu うすれる
uuianai うす汚い
uuui うす口
uuai うす焼き
uuii うす切り
uua うす茶
uuaa うす皮
uuioi うす緑
uu うず
uuuu うずうず
uuu うずく
uuuau うずくまる
uuaai うずたかい
uuau うずまく
uuau うずまる
uueu うずめる
uuou うずもる
uuoeu うずもれる
uua うずら
uuau うず巻く
ueu うせる
uo うそ
uouo うそうそ
uoaui うそさむい
uouu うそぶく
uoaui うそ寒い
uoaau うそ八百
ua うた
uaiaeu うたいあげる
uaiauu うたいまくる
uaionu うたい文句
uau うたう
uaeu うたえる
uaaiuai うたがいぶかい
uaaaii うたがわしい
uauu うたぐる
uaa うたた
uaane うたた寝
uae うたて
uaio うたびと
uaaua うたガルタ
uao うた子
uaua うだうだ
uau うだつ
uau うだる
ui うち
ui うち
uiau うちあう
uiauu うちあぐむ
uiaeu うちあける
uiaeu うちあげる
uiaau うちあわす
uiaaeu うちあわせる
uioou うちおとす
uiooeu うちおとせる
uiaeu うちかえす
uiaeu うちかてる
uiiu うちきる
uiieu うちきれる
uiuau うちくだく
uiuaeu うちくだける
uieu うちけす
uieeu うちけせる
uiou うちこむ
uioau うちこわす
uiiuu うちしずむ
uiueu うちすえる
uiueu うちすてる
uiaou うちたおす
uiaeu うちたてる
uiau うちだす
uiaeu うちだせる
uiue うちつけ
uiueu うちつれる
uioeu うちとける
uioeu うちとれる
uinaou うちなおす
uinaoeu うちなおせる
uinuu うちぬく
uinueu うちぬける
uinoeu うちのめす
uinoio うちの人
uiaau うちはたす
uiaaeu うちはらえる
uiooou うちほろぼす
uiauu うちまくる
uiiu うちみる
uiauu うちやぶる
uiaueu うちやぶれる
uioeu うちよせる
uia うちわ
uiaaio うちわ太鼓
uiueu うち群れる
uiueu うち捨てる
uiuuu うち続く
uiueu うち連れる
uua うっすら
uuu うっする
uaeu うったえる
uaaau うっちゃらかす
uau うっちゃる
ueue うってつけ
uo-ii うっとうしい
uoi うっとり
uun うっぷん
uuu うっ屈
ueu うっ血
uei うっ積
uun うっ憤
uu うつ
uu うつ
uuuu うつうつ
uuuii うつくしい
uue うつけ
uuiau うつしだす
uuie うつし絵
uuu うつす
uuei うつせみ
uueu うつせる
uuu うつつ
uunoia うつのみや
uuuu うつぶす
uuuene うつぶせ寝
uuo うつほ
uuoi うつぼ木
uuuu うつむく
uuueu うつむける
uuauua うつらうつら
uuiaau うつりかわる
uuia うつり香
uuu うつる
uueu うつれる
uuo うつろ
uuou うつろう
uua うつわ
uuuu うつ向く
uuo- うつ病
uuuu うつ伏す
uuueu うつ伏せる
uui うつ木
ueu うてる
uoi うとい
uouo うとうと
uouoii うとうとしい
uoaii うとましい
uou うとむ
uonuu うとんずる
uon うどん
uono うどん粉
unaau うながす
unai うなぎ
unaaeu うなされる
unai うなじ
unauu うなずく
unaueu うなずける
unaaeu うなだれる
unauu うなづく
unaueu うなづける
unau うなる
unau- うな重
unaon うな丼
uni うに
unuoeu うぬぼれる
uneune うねうね
unee うねめ
unei うねり
uneiuneu うねりくねる
uneu うねる
uno うの
unoi うのみ
unoana うの花
uaiau うばいあう
uaiaeu うばいあえる
uaiaeu うばいかえす
uaiou うばいとる
uaioeu うばいとれる
uau うばう
uaeu うばえる
uaaua うば桜
uauua うば車
uuu うふふ
uu うぶ
uuoe うぶ声
ue うべ
uenau うべなう
ua うま
ua うま
uai うまい
uauao うまうまと
uau うまく
uaa うまさ
uai うまみ
uau うまる
uaeaau うまれあわす
uaeu うまれる
uani うま煮
uai うま味
uioou うみおとす
uiooeu うみおとせる
uiau うみだす
uiaeu うみだせる
uiueu うみつける
uu うむ
ue うめ
ue うめ
ueaau うめあわす
ueaaeu うめあわせる
ueioe うめき声
ueu うめく
ueo うめこ
ueoeu うめこめる
ueao うめさお
ueaeu うめたてる
ueaaeuiaa- うめだ花月シアター
ueno うめの
ueo うめよ
ueu うめる
ueo うめ子
uoeu うもれる
uauaii うやうやしい
uaau うやまう
uaaeu うやまえる
uouo うようよ
uaua うらうら
uaaeu うらがえす
uaaeu うらがれる
uaiu うらぎる
uaieu うらぎれる
uaaiii うらさびしい
uaueu うらづける
uanau うらなう
uanaeu うらなえる
uaauaii うらはずかしい
uaieu うらびれる
uaueu うらぶれる
uai うらみ
uau うらむ
uaeii うらめしい
uaaaii うらやましい
uaau うらやむ
uaa うらら
uaaai うらわかい
uaaeu うら枯れる
uaui うら口
uao うら子
uaaai うら若い
uaaiii うら寂しい
uaauaii うら恥しい
uaanaii うら悲しい
uaon うら盆
uaaiii うら淋しい
ui うり
uiaeu うりあげる
uiiou うりいそぐ
uiieu うりきれる
uiou うりこむ
uioeu うりこめる
uiaau うりさばく
uiaaeu うりさばける
uianeao うりざね顔
uiau うりだす
uiaeu うりだせる
uiuuu うりつくす
uiueu うりつける
uioau うりとばす
uioaeu うりとばせる
uinaau うりなやむ
uiaau うりはらう
uiaaeu うりはらえる
uiauu うりまくる
uiaueu うりまくれる
uiaau うりわたす
uiuau うり二つ
uu うる
uu うる
uu- うるう
uuuu うるうる
uu-oi うるう年
uuou うるおう
uuou うるおす
uua うるか
uuai うるさい
uuaaa うるさ型
uuiaa うるし原
uuino うるし野
uuiai うるち米
uuu うるむ
uuaii うるわしい
ueeu うれえる
ueii うれしい
ueino うれし野
uenoou うれのこる
ueu うれる
uoo うろこ
uoaeu うろたえる
uouu うろつく
uonuu うろぬく
uoooe うろ覚え
uonuu うろ抜く
ua うわ
uaa うわさ
uauu うわずる
uaai うわっ張り
uauu うわつく
uanai うわなり
uanaiui うわなり打ち
uanooa うわの空
uae うわべ
uaaau うわまわる
uauu うわむく
uaueu うわむける
uau うわる
uaoo うわ言
uauui うわ薬
un うん
uno うんこ
uniu うんちく
uno うんと
unnun うんぬん
uni うん気
uno- うん醸
uonin う音便
ua う化
uao う多子
uooueu う余曲折
e え
e- えー
e-' えーっ
e-' えーッ
ei えい
eiiu えいじる
eiue えいすけ
eiuu えいずる
eio-an えい光弾
eio- えい航
eio えい子
eii えい児
e- ええ
ee ええ
e-i ええい
e-noo ええにょぼ
eao えがお
eaiau えがきだす
eaiaeu えがきだせる
eau えがく
eaeu えがける
eaai えがたい
eaai えがらい
eaaoi えがらっぽい
eiuu えきする
eui えぐい
euu えぐる
eeunai えげつない
eoi えごい
ea えさ
eaai えさやり
eii えじき
eoana えぞ花
eai えたい
e' えっ
euu えっする
eiaoia えっちらおっちら
euo えつこ
euniiu えつにいる
euo えつ子
euu えづく
ee えて
eeie えてして
eou えどる
enoo えのこ
eie えひめ
ei えび
eiu えびす
eiuo- えびす講
eino えびの
einoi-no えびの飯野
eiana えび穴
eia えび茶
eueuenuan えふえむ・エヌ・ワン
ei えみ
eii えみし
eiaeu えみわれる
eio えみ子
eu えむ
eai えらい
eaian えらいさん
eau えらく
eaiau えらびだす
eaiaeu えらびだせる
eau えらぶ
eaeu えらべる
ei えり
ei えり
eia えりか
eiuuu えりすぐる
einuu えりぬく
eio えりも
eioiai えりも岬
eiaeu えりわける
eionoi えり好み
eio えり子
eiai えり足
einui えり抜き
einuu えり抜く
eiaeu えり分ける
eu える
eu える
euu えるく
en えん
eniu えんじる
enuu えんする
enuu えんずる
enen えんせん
