a ら
auoeu ラブホテル
auau ラブラブ
auoanu ラブロマンス
auoi ラプソディ
auoi- ラプソディー
auaian ラプラシアン
auaa ラプラタ
aeinu ラベリング
aeuue ラベル付け
aena- ラベンダー
ao-u ラホール
ao ラボ
aoa ラボラ
ao-uuuaa ラポール福山
aa ラマ
aanaae ラマナヤケ
aao-a ラマポーサ
aao- ラマ教
ai- ラミー
au ラム
aua-u ラムサール
aua ラムダ
aune ラムネ
ae-u ラメール
aou ラモス
aono ラモント
aaa-u ララパーク
ai- ラリー
ai-oino ラリーポイント
auo ラルゴ
auu ラルズ
auanaiaa ラルマナイ川
auanaiai ラルマナイ滝
aauini ラワルピンディ
aan ラワン
an ラン
anaa- ランカシャー
aninu ランキング
anu ランク
anuueu ランクづける
ane-i ランゲージ
ane-io-o ランゲージボード
ana- ランサー
anao-e ランサローテ
anio ランジット
anu ランズ
anueuiu ランズベルギス
ananoio ランタノイド
anan ランタン
anau ランダス
anauanuinu ランダムサンプリング
ani ランチ
aniaiu ランチタイム
anu- ランチュウ
anon ランチョン
ani ランディ
aneu ランデス
aneu- ランデブー
ano ランド
anoi- ランドリー
anna- ランナー
anna-u ランナーズ
anninu ランニング
ana-'i ランバーティ
anuie ランブイエ
anu ランプ
anuue- ランプステー
aneu ランメル
anenuu ランレングス
anu- ラン数
au ラヴ
aeu ラヴェル
ao- ラ王
i リ
i- リー
i-u リール
ia リア
ia リア
iauon リアクション
iauiiaian リアス式海岸
iaiu'iu リアリスティック
iai'i- リアリティー
iau リアル
iauouu リアルロックス
iu リウ
iuo-inauoi- リウボーインダストリー
iuai リウマチ
ie リエ
ieau-o- リエカ空港
ieuao-oe-on リエスタコーポレーション
ieu リエル
ienoano リエントラント
ieo リエ子
io リオ
ioeaneio リオデジャネイロ
ioneu リオネル
ion リオン
ioooaa リオ横山
ia リカ
ia リカ
ia-iu リカーシブ
iao リカコ
iao リカット
iaa- リカバー
iaai リカバリ
iauo リカルド
ia リガ
ii リキ
iia リキア
iianuau リキサンフラッシュ
iu-u リキュール
iu-o リクード
iuunnuiaa リクウンヌシ山
iueuo リクエスト
iuaneuaa リクマンベツ川
iuaininu リクライニング
iuu-ooaio-aan リクルート北海道じゃらん
iu- リグー
ieia リケッチア
ien リケン
io- リコー
io-eii リコー精器
ioi- リコピー
ia リサ
ia-i リサーチ
iaiuu リサイクル
iaiau リサイタル
iaoiui リサ堀内
ia リザ
ia-u リザーブ
iani-a-uoeu リザンシーパークホテル
iu リス
iui- リスキー
iuuei リスクヘッジ
iua-o リスタート
iuoauainu リストラクチャリング
iuna- リスナー
iuninu リスニング
iuu リスプ
iuon リスボン
iuin リスリン
iuiau リズミカル
iuuoeio-o- リズム時計工業
ie リセ
ieo リセット
ieoo-o リセットモード
io-u リソース
iouai リソグラフィ
io-o リゾート
io-u リゾール
ioo リゾット
ioua リゾルバ
ia-n リターン
ia-nai リターンマッチ
iaia リタイア
iauon リダクション
ia-u リチャーズ
ia-oon リチャードソン
ia- リッカー
iu リック
iuu リックス
ia- リッター
ia-a- リッターカー
ii リッチ
iiono リッチモンド
io リット
iou リットル
iu リップ
iuuai リップルキャリ
iu リツ
iua リツマ
iuo リツ子
ie-u リテール
ieau リテラル
ioania リトアニア
iouau リトグラフ
ioauui リトバルスキ
ioau リトマス
ioauieni リトマス試験紙
iou リトル
iouo-o- リトルトーキョー
ina リナ
inia リニア
iniao-a-a- リニアモーターカー
inu-au リニューアル
inea- リネカー
inen リネン
ia-au リハーサル
iaii リハビリ
iaiie-on リハビリテーション
ia- リバー
ia-ee-on リバーベレーション
iaiau リバイバル
iauno リバウンド
iaaio リバサイド
iaua-onan リバスター音産
ia'i- リバティー
ia'ioo- リバティ書房
iano-u リバノール
iau-u リバプール
iia- リヒター
iioau リヒトラブ
iia リビア
iiea リビエラ
iiaaa リビラ山
iiaaa リビラ川
iinu リビング
iinu リビンズ
iain リファイン
iaineno リファインメント
iaenu リファレンス
io-u リフォーム
io-uo-n リフォームローン
iuino リフキンド
iuo リフト
iuein リフレイン
iueuaiuu リフレッシュサイクル
iue リブレ
iuai リプライ
iuoau'iueuu リプロダクティブ・ヘルス
ie-o リベート
ieo リベット
ieaion リベラシオン
ieia リベリア
ion リボン
io-a- リポーター
io-o リポート
ioio リポイド
ia リマ
ia リマ
iio リミット
iiouii リミットスイッチ
iuin リムジン
io-u リモージュ
io-oenenanu リモートメンテナンス
ioon リモコン
iauio リヤウシ湖
iauiai リヤウシ崎
iaa- リヤカー
iao リヤド
iani リヤンディ
u-ai リューマチ
u-noie リュウノヒゲ
uuanu-u リュクサンブール
uu リュック
uuau リュックサック
ui-ou リュビーモフ
uuana リュブリャナ
uo-i リュボーフィ
uie-u リュミエール
iu リユ
iu-auu リユーザブル
o-an リョーサン
o-i リョウビ
ouo- リョクソウ
oun リョジュン
io リヨ
ion リヨン
ia リラ
ia リラ
iaio リライト
iaue-on リラクゼーション
iauu リラックス
ii- リリー
ii-ue-u リリーフエース
iian リリアン
iiaa リリカラ
iiau リリカル
iiiuu リリシズム
iie リリセ
iian リリヤン
iue リルケ
ie- リレー
ie-e-u リレーレース
ieaneu リレハンメル
io- リロー
ionue リロングウェ
iaino リワインド
ie リヱ
in リン
in リン
in リン
ina リンカ
ina-nnaonau リンカーン・ナショナル
ina-ao リンガーハット
inu リンク
inuo-en リンク総研
inu リング
inuauna リングカウンタ
ine-i リンケージ
inei リンケイ
ineuei リンゲル液
ino-o-oe-on リンコーコーポレーション
ino リンゴ
iniui リンシルイ
inau リンタツ
ina リンダ
ini リンチ
inu リンツ
ineu リンテック
ino リント
ino- リンドウ
innai リンナイ
inneu リンネル
ina リンパ
inaen リンパ腺
inun リンプン
ineu リンベル
ino- リンモウ
inanauu-u リン酸カルシウム
inun リン粉
iinuinia リヴィング・イン・フィア
uuuieou ル・プルミエ・オム
uen ル・ペン
uan ル・マン
u- ルー
u-o-ia ルー大柴
ua-uu ルアーブル
uan ルアン
uana ルアンダ
ui ルイ
uiionaan ルイ・ヴィトン　ジャパン
uiiana ルイジアナ
uiu ルイス
uiuon ルイストン
uieuae ルイベツ岳
uin ルイン
uia ルイ華
uio ルイ子
uuuuaoaa ルウクシュチャロ川
ua ルカ
uano- ルカン礁
uianou ルキヤノフ
uuiniooaa ルクシニコロ川
uuo-u ルクソール
uouae ルコツ岳
uouaa ルコツ川
uo-uei ルゴール液
uaa ルサカ
uaaa ルサ川
uia ルシア
uian ルシアン
uaaa ルシャ川
uiiai ルシ岬
uon ルソン
uono- ルソン島
uai ルタリ
uiiaa ルチシ山
uu ルック
uuu ルックス
uuoi ルツコイ
ueu-u ルテチウム
uenu-u ルテニウム
ueneuaa ルテンベツ川
uneanu ルネサンス
uneanu ルネッサンス
uno- ルノー
unoa-u ルノワール
ua-o ルパート
uaia ルパシカ
uano ルパンゴ
ui ルビ
ui- ルビー
ui- ルビー
uio ルビオ
uion ルビコン
uiu-u ルビジウム
ui- ルピー
ui- ルピー
uia ルピア
ua ルファ
uuoana ルフトハンザ
ueinaiaa ルベシナイ川
ueieaa ルベシベ川
ueunean ルベツネ山
ueuu ルベルス
uo ルポ
uoua-u ルポルタージュ
uan ルマン
ui ルミ
uio ルミ子
uono ルモンド
uanenaiaa ルヤンベナイ川
uio- ルリチョウ
uio ルリ子
uu ルル
uuiae ルルイ岳
uuiiai ルルイ岬
uuan ルルラン
uana ルワンダ
uanaaiouenen ルワンダ愛国戦線
une ルンゲ
unoau ルントシャウ
uno ルンド
una ルンバ
uneuu ルンベルク
unen ルンペン
unenie ルンメニゲ
unun ルンルン
eai レ・マイ
eie レ・ミゼ
eieauu レ・ミゼラブル
e-in レーウィン
e-nao レーンハット
ea-u レアーズ
eaiuu レアリスム
eaie レアリテ
ei レイ
ei レイ
eiauo レイアウト
eiou レイオフ
eii レイキ
eiaiu レイキャビク
eio レイコ
eii レイシ
eiou レイソル
eia- レイダー
eie レイテ
eieo- レイテ島
eina レイナ
eina-o レイナード
einouu レイノルズ
eiu レイプ
eiuau レイムダック
eieiuii レイメイ藤井
eia レイヤ
eio- レイヨウ
eia レイラ
eino-o レインコート
eina- レインジャー
einu レインズ
eino- レインボー
eio レイ子
eo レオ
eo レオ
eoa-neoo-o- レオ・バーネット協同
eoa-o レオタード
eoa-u レオタール
eona レオナ
eonauo レオナルド
eoa レオマ
eooi- レオロジー
eon レオン
eonu-o- レオン球場
eonioui レオン自動機
ea-o レガート
eaa レガッタ
eiu レキップ
eua- レギュラー
euieu レクイエム
eua- レクチャー
euie-onau レクリエーショナル
eue-on レクレーション
euon レグホン
ee- レゲエ
eo-a- レコーダー
eo-oeiauo レコードレイアウト
eai レサッピ
ea- レザー
eanou レザノフ
eaoa レザボア
ei-o レシート
ei-u レシーブ
eii レシピ
ei レジ
ei-u レジーム
eiua レジスタ
eiuo レジスト
eiuau レジデュアル
eienu レジデンス
ea- レジャー
ea-aiu レジャーライフ
eue レジュメ
euu- レスキュー
euoauu レストハウス
euoan レストラン
euonu レスポンス
euonuaiu レスポンスタイム
eua- レスラー
euinu レスリング
euian レズビアン
eeuon レセプション
eeuono-u レセプションホール
eoo レソト
ea- レター
ea-e-a- レターペーパー
eau レタス
eainu レタリング
ea-a レッカー車
eu レック
eun レッスン
eu レッズ
eu レッツ
euo- レッツゴー
eeu レッテル
eo レット
eo レッド
eoeiau レッドデリシャス
eieuu レッヒベルク
ee レテ
ei レディ
ei- レディー
ei-e-o レディーメード
eiu レディス
eiauu レディタスク
eeiaoau レデイマドラス
eeiaou レデイ薬局
eoiu レトリック
eooio レトロフィット
ena レナ
ena-o レナード
enaun レナウン
enaunuu レナウンルック
enu-u レニウム
eninua-o レニングラード
ea- レバー
eanon レバノン
ea-oi- レパートリー
ei レビ
ei- レビー
ei- レビー
eu- レビュー
eei- レフェリー
euo レフト
euon レブロン
eunnua レブン沼
eua レプラ
eei レベジ
eea レベッカ
eeu レベル
eeuau レベルアップ
eena-u レベンザール
eo レポ
eo-a- レポーター
eo-o レポート
ean レマン
ei レミ
eone-o レモネード
eonui レモン水
ei-u レリーフ
eian レリアン
en レン
en レン
ena レンガ
eno- レンギョウ
enuu レングス
ene レンゲ
eneo- レンゲソウ
enoai レンコダイ
enon レンコン
eno- レンゴー
eni レンジ
ena-u レンジャース
enau レンジャク
enu レンズ
eno レンゾ
enaa- レンタカー
enauieo レンタルビデオ
eni レンチ
enu レンツ
enoen レントゲン
enuano レンブラント
enai レン滝
eeu レヴェル
o ロ
o- ロー
o-neniu ローンテニス
oa-u ロアール
oiu ロイズ
oiuoneuo ロイズコンフェクト
oia- ロイター
oia-u-in ロイター通信
oioeane ロイドめがね
oioeane ロイド眼鏡
oine ロイネ
oiaiu ロイマチス
oiai'i ロイヤリティ
oiauoeu ロイヤルホテル
o-ou ロウソク
o-ai ロウバイ
oaii- ロカビリー
oa- ロガー
oaou ロガチョフ
oii- ロキシー
oieuno ロキテクノ
oinu ロギング
ou ロク
ou ロク
ouinaio-e ロクシナイ峠
ouoia ロクロ島
ou ログ
ouauo ログアウト
ouin ログイン
ouauu ログハウス
oe ロケ
oe-on ロケーション
oe-onaiu ロケーションファイル
oeo ロケット
oo ロコ
ooo ロココ
oo ロゴ
oou ロゴス
oouo-oe-on ロゴスコーポレーション
oaneuu ロサンゼルス
oanna ロザンナ
oi-uaaae-a ロシースカヤ・ガゼータ
oia ロシア
oianu-uu ロシアンルーブル
ouiu ロシュビル
ou-u ロジウム
oiau ロジカル
oiu ロジック
oa- ロジャー
oa-u ロジャース
ou ロス
ou ロス
ou ロス
ou ロス
ouaiu ロスタイム
ouou ロストル
ouaia- ロスワイラー
ouai ロス海
oo- ロゾー
oau ロダム
oan ロダン
oaniuuan ロダン美術館
oa- ロッカー
oi- ロッキー
oinu ロッキング
ou ロック
ouninoni- ロックンシンフォニー
oi-ni ロッシーニ
oi ロッジ
oe ロッテ
oeo-i ロッテ商事
oo ロット
ou ロップ
ooieu ロドリゲス
onauo ロナルド
oa ロハ
oau ロハス
oaai ロハ台
oa ロバ
oa-o ロバート
oi- ロビー
oiiuo ロビイスト
oin ロビン
oinon ロビンソン
oeuainoa- ロフェスタインロッター
ouo ロフト
ouon ロブソン
oueuu ロブテックス
oe-u ロベール
oeuo ロベルト
oeu ロペス
ooo ロボット
oo'iuu ロボティックス
oaneuu ロマネスク
oanou ロマノフ
oaio ロマリオ
oan ロマン
oanouau ロマン子クラブ
oio ロミオ
oienauu ロミテンラウフ
oe ロメ
oi-a ロリータ
oion ロリコン
ouan ロルダン
oe-nu ロレーヌ
oeno ロレンソ
oo ロロ
oau ロワス
on ロン
onu ロング
onueni ロングレンジ
one ロンゲ
oni-uo-o- ロンシール工業
onan ロンシャン
oni- ロンジー
ono ロンド
ononei- ロンドンデリー
ona-u ロンバーグ
onauia ロンバルディア
ona-u ロンパース
onue ロンフレa 〜ら
aion ライオン
aiaiie-ion リハビリテーション
aiuona-o ライブコンサート
auei 落石
auoi-n ラストシーン
aeu ラベル
aneno ラテン語
i-uen リーグ戦
ia 理科
iuu 理屈
iou 利口
iaiuu リサイクル
iuo リスト
iuaiei 立体的
iua 立派
ien 利点
iuuou 流行
iuuuauu リュックサック
iouii 領域
iouin 料金
iouiou 了承
ieiio 履歴書
iniouen 臨機応変
ini 臨時
uiinaei 累進課税
ei 礼
eien 0.
einen 例年
ei-o レシート
eu 列
euo レッド
eeu レベル
enai 恋愛
enauiou レンタル料
enauai 連絡先
ouino-u 老人ホーム
ouou 労働
o-u ロープ
oeuo ロケット
oenuo 露天風呂
