a-i はーい
aiaeu はりさける
aienon はりせんぼん
aiaou はりたおす
aiau はりだす
aiaeu はりだせる
aiuu はりつく
aioau はりとばす
aiai はりはり
aia はりま
aieuaeu はりめぐらせる
aiau はり合う
au はる
au はる
aue はるえ
aua はるか
auo はるこ
auno はるの
auau はるばる
aui はるみ
aueu はるめく
auaao-i はるやま商事
auo はるよ
aue はるゑ
aue はる江
aua はる香
auo はる子
auo はる代
aui はる美
aeaau はれあがる
aeaaii はれがましい
aeoai はれぼったい
aeu はれる
aeaau はれわたる
aeono はれ物
an はん
ananiii はんがんびいき
anon はんこん
aniu はんじる
anuu はんする
anuu はんずる
ana はんだ
anaue はんだづけ
anan はんらん
au-ui は虫類
a-an ばあさん
a-an ばあちゃん
aiuu ばいする
aien ばい煙
aiin ばい菌
aauai ばかくさい
aaeu ばかげる
aau ばかす
aaeu ばかせる
aaaaii ばかばかしい
aaaii ばからしい
aaaai ばか騒ぎ
aaiaa ばか力
auuu ばくする
aueno ばくぜんと
auin ばく進
auen ばく然
auai ばく大
aeu ばける
aaaa ばさばさ
aaaai ばさら髪
aauai ばたくさい
aauaeu ばたつかせる
aauu ばたつく
aaaa ばたばた
aaa ばた屋
aauai ばた臭い
aaai ばた足
ao ばっこ
aai ばっさり
auu ばっする
aa ばった
aai ばったり
aeu ばてる
anai ばなし
aneaai ばね秤
aai ばやし
aau ばらす
aao ばらっと
aauu ばらつく
aaaa ばらばら
aaaa ばらばら
aaai ばらまき
aaau ばら蒔く
aaio ばら色
aaui ばら積み
aaen ばら銭
aaui ばら炭
aaaa ばら弾
aaniu ばら肉
aau ばら斑
ai ばり
aio ばりっと
aiai ばりばり
au ばる
aeu ばれる
anan ばんばん
anai ばん回
aei ば声
ao- ば倒
a-oan ぱぁとわん
a-o ぱあっと
auuu ぱくつく
auau ぱくぱく
auio ぱくりと
auu ぱくる
aauu ぱさつく
aaaa ぱさぱさ
auo ぱすこ
aoon ぱそこん
aao ぱたっと
aai ぱたり
aiui ぱちくり
aiai ぱちぱち
aui ぱっくり
aai ぱったり
aii ぱっちり
ao ぱっと
aao ぱっぱと
aauu ぱらつく
aaaa ぱらぱら
aaio ぱらりと
aio ぱりっと
aiai ぱりぱり
iaau ひあがる
i-ie ひいき目
i-a-an ひいばあさん
iin ひいん
iui ひうち
ie ひえ
ieou ひえこむ
ieu ひえる
ieano ひえ田野
ieanoo-enaa ひえ田野町天川
ieia ひえ島
iaeu ひかえる
iauei ひかくてき
iaaeu ひかされる
iau ひかす
iaau ひからす
iaeono ひかれ者
iai ひがし
iaiono- ひがみ根性
iau ひがむ
ianaani ひがんだ団地
iiau ひきあう
iiaaeu ひきあわせる
iiiu ひきいる
iiieu ひきいれる
iiueu ひきうける
iioou ひきおこす
iiooeu ひきおろせる
iiaeu ひきかえす
iiaeu ひきかえる
iiuuu ひきぐする
iiou ひきこむ
iioou ひきころす
iiaau ひきさがる
iiieu ひきしめる
iiuiou ひきずりこむ
iiuu ひきずる
iiau ひきたつ
iiaeau ひきたて役
iiau ひきだす
iiaeu ひきだせる
iiiiu ひきちぎる
iioeu ひきとれる
iinuu ひきぬく
iinoaeu ひきのばせる
iianau ひきはなす
iiaau ひきはらう
iiaau ひきまわす
iiooeu ひきもどせる
io- ひきょう
iioeu ひきよせる
iiaeu ひきわける
iiai ひき割り
iiou ひき込む
iioou ひき殺す
iiio ひき潮
iinie ひき逃げ
iiniu ひき肉
iu ひく
iui ひくい
iuiu ひくひく
iuau ひくまる
iueu ひくめる
iuiio-uu-u ひぐち企業グループ
ie ひけ
ieaau ひけらかす
ieu ひける
io-iuo ひこうき雲
ia ひさ
iae ひさえ
iau ひさぐ
iao ひさこ
iai ひさし
iaii ひさしい
iao ひさと
iano ひさの
iao ひさよ
iae ひさゑ
iao ひさを
iae ひさ江
iao ひさ子
ia ひざ
iaauu ひざまずく
iaae ひざ掛け
iaue ひざ詰め
iaoo ひざ元
iaoo- ひざ小僧
iaaua ひざ枕
iiu ひしぐ
iieu ひしげる
iio ひしと
iiii ひしひし
iieiau ひしめきあう
iieu ひしめく
iaeu ひしゃげる
io- ひしょう
iiaa ひし形
ii ひじ
iii ひじき
io-ni ひじょうに
iiino ひじり野
iiinoianio- ひじり野北二条
iiae ひじ掛け
iiui ひじ打ち
iieu ひじ鉄
iu ひす
iuu ひする
iuu ひずむ
ioa ひそか
ioio ひそひそ
ioioanai ひそひそ話
ioau ひそまる
ioeu ひそめる
iou ひぞる
iai ひたい
iaaui ひたかくし
iaiono ひたし物
iaua ひたすら
iainaa ひたちなか
iao ひたと
iaia ひたひた
iauu ひたぶる
iaui ひたむき
iau ひたる
iaaui ひた隠し
iaoi ひた押し
iaaii ひた走り
ia ひだ
iai ひだり
iaui ひだるい
iaineia ひだインテリア
iaeu ひっかえす
iauu ひっかぶる
io- ひっきょう
io-uuni ひっきょうするに
iiinai ひっきりなし
iiinai ひっきり無し
iuuu ひっくくる
iuueu ひっくるめる
iou ひっこす
ionuu ひっこ抜く
iaeu ひっさげる
ioi ひっそり
iaui ひったくり
iaeu ひったてる
iuau ひっつかむ
iue ひっつれ
ioaeu ひっとらえる
iaau ひっぱがす
iaeu ひっぱれる
iuuu ひっ括る
ioeu ひっ込める
iau ひっ掻く
iauu ひっ担ぐ
iuau ひっ掴む
iaeu ひっ提げる
iau ひっ迫
iauu ひっ被る
ioou ひっ篭る
iui ひつぎ
iui ひつじ
ieo ひて子
ie ひで
ieo ひでこ
iei ひでみ
ieo ひでよ
ieo ひで子
io ひと
io ひと
ioiiai ひといちばい
ioeni ひとえに
ioaanaau ひとかたならず
ioaaueu ひとかわむける
ioaaii ひとがましい
ioia ひときわ
iooo ひところ
iooo ひとごと
ioaiui ひとさし指
ioui ひとすじ
ioai ひとたび
ioai ひとたび
ioo ひとっこ
iooi ひとっ飛び
iouanai ひとつ話
ioe ひとで
iooi ひととき
ionauoi ひとなつっこい
ioniii ひとにぎり
ioaaaeu ひとはたあげる
ioanaaaeu ひとはなさかせる
ioau ひとまず
ioeoe ひとめぼれ
ioi ひとり
ioiai ひとり立ち
ioanin ひと安心
ioae ひと雨
ioana ひと花
ioaai ひと回り
ioae ひと汗
ioanai ひと頑張り
ioaui ひと休み
iouinaa ひと筋縄
ioui ひと月
iooo ひと言
iooo ひと頃
ioaa ひと山
iooo ひと事
ioniai ひと煮立ち
iooe ひと声
iouai ひと昔
ioii ひと息
ioai ひと足
ioaiaai ひと足早い
ioo-i ひと通り
ioai ひと度
ioaa ひと肌
ioan ひと晩
ioaa ひと皮
ioi ひと美
ioue ひと癖
ioaae ひと抱え
ioaa ひと泡
ioau ひと幕
ioai ひと味
ioneui ひと眠り
ioe ひと目
ioe ひと目
ioau ひと役
iouu ひと粒
ioi ひどい
iou ひどく
ioa ひどさ
iou ひどる
ina ひな
ina ひな
inaauai ひなたくさい
inanoeu ひなの節句
inaiu ひなびる
inaaa ひな型
inaaui ひな祭り
inao ひな子
inanino- ひな人形
inaan ひな壇
inaoi ひな鳥
iniuu ひにくる
iniini ひにひに
ine ひね
ineuu ひねくる
ineoiu ひねこびる
ineou ひねもす
inei ひねり
ineeu ひねれる
inoi ひのき
inoiuai ひのき舞台
inoe ひので
inoa ひのや
inoiani ひの木団地
iai ひはり
iai ひばり
iaino ひばり野
ii ひひ
ii ひび
iiau ひびかす
iiu ひびく
iiaeu ひびわれる
iiaeu ひび割れる
iino ひび野
iui ひふみ
iaiu ひまし油
iaou ひまどる
iaai ひまわり
iaaiai ひまわり台
iu ひむ
ieuiauoai ひめゆり学徒隊
ieu ひめる
io ひも
ioii ひもじい
iouaa ひもすがら
ioou ひもとく
iooeu ひもとける
a- ひゃー
au ひゃく
iaau ひやかす
iaio-an ひやきおーがん
iainu ひやしんす
iaeu ひやせる
iaoi ひやっこい
iaio ひやりと
iaiu ひや水
u' ひゅっ
oio ひょいと
ou ひょう
o-eu ひょうげる
o-o ひょう疽
ooo ひょこっと
oooo ひょこひょこ
ooi ひょっこり
ooo ひょっとこ
ooiaa ひょっとしたら
ooo ひょろっと
oonaai ひょろ長い
onna ひょんな
onnaooaa ひょんなことから
io ひよ
ioo ひよこ
ioo ひよっこ
iooiai ひよどり台
iooiia ひよどり北
ioinooi ひよみのとり
ioei ひよめき
ioiai ひより台
ioai ひよわい
ioo ひよ子
iai ひらい
iaanaeiuii ひらかな盛衰記
iaeu ひらける
iaai ひらたい
iaua ひらつか
iani ひらに
iaia ひらひら
iaeai ひらべったい
iae ひらめ
iaeu ひらめる
iaio ひらりと
iiau ひりだす
iiuu ひりつく
iiio ひりりと
iiau ひり出す
iu ひる
iu ひる
iuaeu ひるがえす
iuano ひるがの
iuu ひるむ
ie ひれ
ieuu ひれふす
ieuu ひれ伏す
io ひろ
ioai ひろあき
ioi ひろい
ioiaeu ひろいあげる
iou ひろう
ioe ひろえ
ioeu ひろえる
ioa ひろか
ioau ひろがる
ioi ひろき
ioeu ひろげる
ioo ひろこ
ioi ひろし
ioia ひろしま
ioaa ひろただ
iono ひろの
ionoaoa ひろのが丘
ioa ひろば
ioio ひろびろ
ioui ひろふみ
ioau ひろまる
ioeu ひろめる
ioin ひろりん
ioo ひろ子
ioi ひろ美
iaeu ひわれる
inu ひんす
inuu ひんする
inaau ひんまがる
inaeu ひんまげる
in'ai ひんやり
inaau ひん曲がる
inaeu ひん曲げる
ini ひん死
inei ひん斥
inau ひん発
iou ひ骨
ioa ひ弱
ioai ひ弱い
iu ひ生
io ひ素
io- ひ臓
iao ひ孫
iii びいき
ii びき
iuuu びくつく
iuoo びくとも
iuiu びくびく
iio びしっと
iiii びしびし
iao びしゃっと
ioio びしょびしょ
ionue びしょ濡れ
iai びたし
iai びたり
iaiion びた一文
iaen びた銭
iaia びちゃびちゃ
iui びっくり
ioi びっしょり
iii びっしり
iii びっちり
ieiou びてい骨
ina びな
iiii びびしい
iiau びびたる
iio びびと
iiu びびる
io- びほう
io- びぼう
ian びまん
u-uaa びゅうプラザ
unun びゅんびゅん
o-inouii びょうきのふしぎ
o-u びょうぶ
ia びら
iai びらき
ii びり
iiii びりびり
ie びれ
io- びろう
ia びわ
ia びわ
iao びわこ
iaoo-o- びわ湖放送
in びん
ina びんた
innai びんない
inan びん乱
i-i- ぴーぴー
i-no ぴーんと
ia ぴあ
ia ぴあ
i-i- ぴいぴい
i-uua ぴいぷる社
ioi'io-uenaai- ぴおシティゴールデンギャラリー
iao ぴかっと
iaia ぴかぴか
iaio ぴかりと
iaii ぴか一
ii ぴき
iuiu ぴくぴく
iui ぴくり
iuniun ぴくんぴくん
iio ぴしっと
iiii ぴしぴし
iao ぴしゃっと
iaio ぴしゃりと
iiio ぴしりと
iao ぴたっと
iai ぴたり
iaio ぴたりと
iio ぴちっと
iiii ぴちぴち
iii ぴっしり
iai ぴったし
iai ぴったり
iii ぴっちり
ua ぴゅあ
oooo ぴょこぴょこ
oono ぴょこんと
ono ぴょんと
onon ぴょんぴょん
iio ぴりっと
iiii ぴりぴり
inan ぴんしゃん
ino ぴんと
inin ぴんぴん
u-n ふーん
u- ふう
uu ふう
u-iu ふうきる
u-en ふうせん
uuou ふうとう
u-u- ふうふう
u-n ふうん
ue ふえ
ueu ふえる
o-iuu ふぉーヴぃすむ
oeno ふぉれんと
uaai ふかあい
uai ふかい
uau ふかす
uaua ふかふか
uauao ふかぶかと
uaau ふかまる
uaeu ふかめる
uainai ふがいない
ui ふき
uiaeu ふきあげる
uiaeu ふきあれる
uioou ふきおろす
uiaeu ふきかえす
uioeu ふきこめる
uiuau ふきすさぶ
uiau ふきだす
uiueu ふきつける
uieu ふきでる
uioau ふきとばす
uioeu ふきとれる
uinaau ふきならす
uinueu ふきぬける
uiaau ふきはらう
uiaaeu ふきはらえる
uiauu ふきまくる
uiaeu ふきわける
uin ふきん
uio ふき子
uiou ふき取る
uiae ふき上げ
uiioeu ふき清める
uu ふく
uu ふく
uue ふくえ
uuoa ふくおか
uuu ふくす
uuo-iu ふくそう率
uuuuii ふくぶくしい
uuau ふくまる
uueu ふくめる
uua ふくや
uuoa ふくよか
uuaio ふくらし粉
uuou ふくろう
uue ふくゑ
uue ふく江
uuo ふく子
uuaneu ふく射熱
uu ふぐ
uui ふぐり
ueou ふけこむ
ueu ふける
ueu ふける
ua ふさ
uae ふさえ
uaau ふさがる
uaeu ふさげる
uao ふさこ
uano ふさの
uaua ふさふさ
uao ふさよ
uaaii ふさわしい
uae ふさゑ
uae ふさ江
uao ふさ子
uaeu ふざける
ui ふし
uioau ふしおがむ
uii ふしぎ
uiueau ふしくれだつ
uiiuu ふししずむ
uiaa ふしだら
uo-uo- ふしょうぶしょう
ui ふじ
ui ふじ
uii ふじい
uie ふじえ
uiaoa ふじが丘
uio ふじこ
uiu ふじつ
uino ふじの
uinoai ふじの台
uii ふじみ
uiino ふじみ野
uiaouin ふじや食品
uio ふじよ
uie ふじゑ
uiaoa ふじガ丘
uiau ふじ丸
uie ふじ江
uio ふじ子
uie ふじ枝
uio-iio- ふじ町一条
uio-nio- ふじ町二条
uu ふす
uueu ふすべる
uuou ふすぼる
uuu ふする
ueu ふせぐ
ueeu ふせげる
ueu ふせる
ueu ふせる
uon ふそん
ua ふた
uau ふたつ
uaueni ふたつ返事
uaa ふたば
uaeu ふためく
uai ふたり
uaoa ふた親
uauu ふた粒
ui ふち
uiou ふちどる
uio ふぢ子
uaeu ふっかける
uiu ふっきる
uieu ふっきれる
uui ふっつり
uo ふっと
uou ふっとぶ
uieu ふっ切れる
uo ふっ素
uu- ふつー
uuuu ふつふつ
ueuau ふてくさる
ueuaeu ふてくされる
ueueii ふてぶてしい
ueu ふてる
uene ふて寝
ueo ふで子
uo ふと
uoi ふとい
uooo ふところ
uoia ふとした
uoo ふとっちょ
uoaa ふとっ腹
uou ふとる
uoeu ふとれる
unauna ふにゃふにゃ
unauna ふにゃふにゃ
uuu ふふふ
uui ふぶき
uuu ふぶく
uuinoeo ふぶしの瀬戸
uo- ふほう
uaeu ふまえる
ui ふみ
uie ふみえ
uiiu ふみきる
uioeu ふみこめる
uiiau ふみしだく
uiieu ふみしめる
uiaou ふみたおす
uiaoeu ふみたおせる
uiau ふみだす
uiaeu ふみだせる
uiueu ふみつける
uiooaeu ふみとどまれる
uinaau ふみならす
uino ふみの
uiauu ふみはずす
uie ふみへ
uiauu ふみやぶる
uio ふみよ
uiaeu ふみわける
uie ふみゑ
uie ふみ江
uio ふみ子
uie ふみ枝
uio ふみ代
uu ふむ
uuuu ふむふむ
ueu ふめる
uoo ふもと
uaau ふやかす
uaeu ふやける
uau ふやす
uaeu ふやせる
uu ふゆ
uuoou ふゆごもる
uuno ふゆの
uuo ふゆ子
uoo ふよこ
uono ふよの
uoo ふよ子
uau ふらす
uaeu ふらせる
uai ふらち
uauu ふらつく
uaua ふらふら
uai ふらり
uaa- ふらわー
uanuo- ふらんす堂
ui ふり
uiau ふりあう
uiaeu ふりあてる
uioou ふりおこす
uiooeu ふりおとせる
uiaeu ふりかえる
uiauu ふりかぶる
uiana ふりがな
uiiu ふりきる
uioeu ふりこめる
uiaeiu ふりさけみる
uioou ふりそそぐ
uiaeu ふりたてる
uiau ふりだす
uiaeu ふりだせる
uiuou ふりつもる
uiaieu ふりはじめる
uioou ふりほどく
uiau ふりまく
uiueu ふりむける
uiaeu ふりわける
uiana ふり仮名
uiuu ふり向く
uiieu ふり入れる
uiaa ふり方
uu ふる
uui ふるい
uuiooeu ふるい落とせる
uuu ふるう
uueaau ふるえあがる
uueaau ふるえ上がる
uuuai ふるくさい
uuao ふるさと
uuaoo-eiiin ふるさと創生資金
uua ふるた
uuoi ふるとり
uuiu ふるびる
uuu ふるふ
uuoeu ふるぼける
uuau ふるまう
uueaii ふるめかしい
uuau ふるわす
uuaeu ふるわせる
uuao ふる里
ueau ふれあう
ueaeu ふれあえる
ueoi ふれこみ
ueoeu ふれこめる
ueaau ふれまわる
ueu ふれる
ueai ふれ合い
ueau ふれ合う
uo ふろ
uoii ふろしき
uoa ふろ場
uoui ふろ吹き
uao ふわっと
uaua ふわふわ
uai ふわり
uaio ふわりと
un ふん
un ふん
uniu ふんぎる
unieu ふんぎれる
uniau ふんじばる
unuio- ふんすい塔
unuu ふんする
uneno ふんぜんと
unoiaeu ふんぞりかえる
unoiaeu ふんぞり返る
unauu ふんだくる
unanni ふんだんに
unueu ふんづける
unau ふんばる
unau ふんぱつ
uneuuai ふんべつくさい
uneuaii ふんべつらしい
unan ふんまん
unai ふんわり
uno- ふん装
uno- ふん闘
unno- ふん尿
uniau ふん縛る
unen ふん便
ua ふ化
ueu ふ節
uo- ふ頭
uo- ふ報
uan ふ卵
uaui ぶあつい
u-u- ぶうぶう
uio ぶきっちょ
uuuu ぶくぶく
uaa ぶさた
uu ぶす
uuo ぶすっと
uuuu ぶすぶす
uuio ぶすりと
uen ぶぜん
ua ぶた
uiaeu ぶちあてる
uiaau ぶちかます
uioau ぶちこわす
uinoeu ぶちのめす
uiaeu ぶちまける
uioau ぶち壊す
uiou ぶち込む
uiaeu ぶち当てる
uai ぶっかき
uiao- ぶっきらぼう
uu ぶっく
uaiu ぶったぎる
uano-an ぶった農産
uue ぶっつけ
uuueu ぶっつづける
uoau ぶっとばす
uanau ぶっぱなす
uiai ぶっ違い
uuue ぶっ続け
uuueu ぶっ続ける
uoau ぶっ飛ばす
uu ぶつ
uuau ぶつかる
uueu ぶつける
uuuu ぶつぶつ
uuuu ぶつぶつ
uuii ぶつ切り
uo- ぶどう
uo-o-e ぶどう峠
uau ぶばる
ua ぶま
uouo ぶよぶよ
uouo ぶよぶよ
ua-no ぶらーんと
uaaau ぶらさがる
uaaeu ぶらさげる
uauu ぶらつく
uaua ぶらぶら
uauaaai ぶらぶら病
uai ぶらり
uano ぶらんと
uaaau ぶら下がる
uaaeu ぶら下げる
ui ぶり
ui ぶり
ui ぶり
uiaeu ぶりかえす
uiui ぶりぶり
uiaeu ぶり返す
uu ぶる
uuuu ぶるぶる
ueu ぶれる
uo ぶろ
uo ぶろ
unaa ぶんか社
unou ぶんどる
unnauu ぶんなぐる
unnaeu ぶんなげる
unun ぶんぶん
unaai ぶんまわし
unnauu ぶん殴る
unnaeu ぶん投げる
uaui ぶ厚い
uou ぶ告
uouai ぶ告罪
uen ぶ然
u-no ぷーんと
uio ぷいと
u-no ぷうんと
uaua ぷかぷか
uuuu ぷくぷく
uui ぷっくり
uui ぷっつり
uiui ぷりぷり
uno ぷんと
unun ぷんぷん
e- へー
e-' へーっ
eaau へあがる
eioa へいこら
eiuu へいする
eieno へいぜんと
eiei へいへい
e- へぇ
e-' へえッ
eau へがす
ei へき
eiuu へきする
eiei へきれき
eiei へき易
eiai へき開
eii へき地
ei へぎ
eiia へぎ板
euaia へぐら島
eoaeu へこたれる
eoau へこます
eou へこむ
eiau へしあう
eiou へしおる
eaeu へしゃげる
eiai へし合い
eiau へし合う
eiou へし折る
eu へす
eeu へせる
eo へそ
eoui へそくり
eonoo へその緒
ea へた
eauo へたくそ
eaau へたばる
eaea へたへた
eaau へだたる
eaeu へだてる
eia へちま
e' へっ
eaue へったくれ
eiioi へっぴり腰
eiiui へっぴり虫
eoo へっぽこ
euau へつらう
eoeo へとへと
eooo へどもど
enaena へなへな
enaena へなへな
enaui へな振
enaoo へな猪口
enoaa への河童
eaiuu へばりつく
eau へばる
ei へび
eianan へびだんだん
eeee へべれけ
eo へぼ
ea へま
eeuu へめぐる
eau へらす
eauui へらず口
eaea へらへら
eiuau へりくだる
eu へる
eu へる
en へん
enou へんこつ
enin へんしん
eniu へんじる
enuu へんする
enuu へんずる
eniuin へんちくりん
eneo へんてこ
eneu へんてつ
enin へんりん
eneiou へん平足
eioa べーごま
eioa べい独楽
eian べき算
eio- べき乗
eio-iu べき等律
eo べそ
ea べた
eauu べたつく
eaea べたべた
eaio べたりと
eaiien べた一面
eauu べた付く
eaua べちゃくちゃ
eano- べっかんこう
eo-ae べっこうあめ
eie べっして
eaaue べったら漬
eai べったり
eoi べっとり
ein べっぴん
eo- べっ甲
ei べっ視
eo- べっ称
euan べつだん
euni べつに
eouu べとつく
eoeo べとべと
eouu べと付く
eniana べに花
eaea べらべら
eane- べらんめぇ
eane- べらんめえ
ei べり
eoeo べろべろ
eoio べろりと
eoneon べろんべろん
enio- べんぎじょう
eniu べんじる
enuu べんする
enuu べんずる
enaa べんちゃら
eonau べトナム
eiei ぺいぺい
ee ぺけ
eoeo ぺこぺこ
eoi ぺこり
eoio ぺこりと
eano ぺしゃんこ
eao ぺたっと
eaea ぺたぺた
eaio ぺたりと
eaua ぺちゃくちゃ
eano ぺったんこ
eano ぺっちゃんこ
een ぺてん
eeni ぺてん師
eaea ぺらぺら
eoo ぺろっと
eoeo ぺろぺろ
eoio ぺろりと
en ぺん
eneu ぺんてる
enenua ぺんぺん草
oio ほいと
oinai ほいない
o- ほう
o- ほう
ouaniii ほうがんびいき
o-i ほうき
o-u ほうる
ouenou ほうれんそう
o-eno- ほうれん草
o-o ほう助
oeu ほえる
o- ほお
o-au ほお張る
oa ほか
oau ほかす
oanau ほかなる
oani ほかに
oaoa ほかほか
oiau ほきだす
ouoeu ほくそえむ
ouoeu ほくそ笑む
ouou ほくほく
ouo ほくろ
ouu ほぐす
oueu ほぐせる
oueu ほぐれる
oeaoi ほけが森
oeu ほける
oo ほこ
oo-ei ほこうえい
ooaii ほこらしい
ooou ほころぶ
ooai ほこ先
oou ほごす
oau ほざく
oii ほしい
oii ほしい
oioou ほしころす
oia ほしさ
oiuu ほじくる
oiu ほじる
ou ほす
ouu ほする
ooi ほそい
oonaai ほそながい
oooo ほそぼそ
ooeu ほそめる
oou ほそる
oonoo ほぞの緒
oaaeu ほだされる
ouu ほっする
ooi ほっそり
oaaau ほったらかす
ouu ほっつく
oo ほっと
ooua ほっとゆだ
oe ほっぺ
oenenei ほっぺん先生
oou ほっぽる
ouu ほつす
oue ほつれ
oueu ほつれる
oeion ほていそん
oeu ほてる
ooeaa ほとけ沢
oooiu ほととぎす
ooaiu ほとばしる
ooiu ほとびる
oooo ほとほと
oooi ほとぼり
ooi ほとり
oo ほど
oo ほど
oo ほど
ooiono ほどき物
oooeu ほどこせる
ooo-i ほどとおい
oonau ほどなく
oooi ほどよい
ooo-i ほど遠い
ooiai ほど近い
oneoion ほねおり損
oneou ほねおる
oneoi ほねっぽい
oneau ほねばる
onoa ほのか
onoono ほのぼの
onoeau ほのめかす
onoeu ほのめく
onouai ほの暗い
ouu ほふる
oo ほほ
ooeaii ほほえましい
ooeu ほほ笑む
oo ほぼ
oaeai ほまれ橋
oeaeu ほめあげる
oeoau ほめそやす
oeiiu ほめちぎる
oeu ほめる
oaoa ほやほや
oa ほら
oaai ほら貝
oaana ほら穴
oi ほり
oiaeu ほりあげる
oioou ほりおこす
oiooeu ほりおこせる
oiaeu ほりかえす
oioeu ほりこめる
