aaia かゞみや
aaaaiai かたはらいたい
aauu かたぶく
aaueu かたぶける
aaaiau かたまりあう
aaeu かためる
aaoeu かたよせる
aaou かたよる
aaau かたらう
aaeu かたれる
aaaa かたわら
aan かたん
aaan かたパン
aaoe かた染め
aiau かちあう
aieu かちえる
aiai かちかち
aioeu かちこせる
aiuuu かちすすむ
aiuueu かちすすめる
aiou かちとる
aioeu かちとれる
aioiai かちどきばし
aioiai かちどき橋
ainuu かちぬく
aioou かちほこる
aii かちみ
aio かちよ
aii かちり
ain かちん
aiau かち合う
aio かち子
aiou かち取る
aioeu かち取れる
aieu かち得る
aao かっかと
aiuu かっきづく
aiu かっきる
aoii かっこいー
aooa かっこよさ
auu かっする
aaui かったるい
aii かっちり
ae かって
ao かっと
aoau かっとばす
aaeien かっぱえびせん
aaai かっぱ橋
ao かっぽ
ao- かっぽう
aou かっ込む
aiu かっ切る
aau かっ達
aoau かっ飛ばす
ao かっ歩
au かつ
au かつ
au かつ
aui かつい
aue かつえ
aueu かつえる
auo かつお
auoui かつお節
auau かつかつ
auiaeu かつぎあげる
aueu かつげる
auo かつこ
aui かつぢ
auon かつどん
auno かつの
auui かつぶし
aui かつみ
auo かつよ
aua かつら
auaiai かつらぎ橋
aue かつゑ
auo かつを
aue かつ江
auo かつ子
aue かつ枝
au かづ
aui かづい
aue かづえ
aue かづ江
auo かづ子
aeu かてる
aeu かでる
ao- かとう
aoaoii かどかどしい
aoau かどだつ
aoaeu かどだてる
aoaeiu かどや製油
aoaau かどわかす
ana かな
ana かな
anau かなう
anae かなえ
anaeo-i かなえ商事
anauai かなくさい
anauiueu かなぐりすてる
anauiueu かなぐり捨てる
anaii かなしい
anaiu かなしむ
anaa かなた
anaui かなづち
anaeu かなでる
anaun かなぶん
anae かなめ
anae かなめ
anaaao かなやま湖
anaau かならず
anaaua かならずや
anaani かな漢字
anauai かな遣い
anao かな子
anaai かな書き
anao かな女
ani かに
aniauni かにかくに
ane かね
ane かね
aneau かねあう
aneane かねがね
aneo かねこ
aneoio かねこみそ
aneoo かねごと
anea かねさ
aneonaeu かねそなえる
aneeaa かねてから
aneuu かねふく
aneeiouin かねへい食品
anei かねみ
aneoi かねもり
aneo かねよ
aneu かねる
aneai かね合い
aneo かね子
aneaa かね正
ano かの
anoo かの子
anoao かの里
aau かばう
aane かばね
aan かばん
aaai かば焼き
aiuai かびくさい
aiu かびる
aian かぴたん
auau かぶさる
aueua かぶせ蓋
auoui かぶとむし
auoui かぶと虫
auiui かぶりつき
aueu かぶれる
aoo かほど
aoi かほり
aoi かほり
aou かほる
aou かほる
aoo かほ子
aooi かぼそい
aoa かぼちゃ
aa かま
aau かまう
aaeu かまえる
aaua かまくら
aaeu かまける
aauaie かます田理恵
aaa かまた
aaoo かまとと
aaiuii かまびすしい
aaoo かまぼこ
aaue かまゆで
aaui かま首
aiai かみあい
aiaaeu かみあわせる
aiiiui かみきり虫
aiooeu かみころせる
aiaiu かみさびる
aiieu かみしめる
aiuu かみつく
aiaeu かみわける
aiau かみ合う
aiaae かみ合わせ
aioou かみ殺す
aiooeu かみ殺せる
aiieu かみ締める
au かむ
auu かむる
ae かめ
aea かめだ
aeno かめの
aenoo かめの子
aeo かめよ
aeu かめる
ao かも
aoiau かもしだす
aoeu かもせる
aoe かもめ
aoein'o-ino かもめ信用金庫
aano かやの
aanoi かやの木
aui かゆい
aui かゆみ
ao かよ
aou かよう
aoeu かよえる
aoai かよわい
aoau かよわす
aoo かよ子
aai からい
aaai からかい
aaaa からから
aaaa からがら
aaii からきし
aaui からくり
aaeu からげる
aau からす
aauui からす瓜
aaa からだ
aaii からっきし
aaeu からっけつ
aao からっと
aaea からっ下手
aaae からっ風
aaiu からびる
aaau からます
aaee からめ手
aai からり
aaeu かられる
aaeni から元気
aaui から口
aiaeu かりあげる
aiaueu かりあつめる
aiieu かりいれる
aiueu かりうける
aiaeu かりかえる
aiou かりこむ
aiaou かりたおす
aiaeu かりたてる
aiau かりだす
aiou かりとる
aioeu かりとれる
aini かりに
aiooou かりもよおす
aiu かりる
aino- かりん糖
aiaueu かり集める
aiau かり出す
au かる
aui かるい
auau かるがる
auauo かるがると
aei かれい
aeoe かれこれ
aeau かればむ
aeu かれる
ao-ie かろうじて
aoieu かろしめる
aoi-na かろりーな
aonuu かろんずる
aaii かわいい
aaiaii かわいらしい
aaau かわかす
aau かわく
aau かわす
aaeu かわせる
aaae かわたれ
aauuioino かわつる三芳野
aaui かわゆい
aaaan かわら版
aaeu かわれる
aoi かをり
aou かをる
an かん
an'ai かんあい
an'oe かんおけ
anaeo-e かんかけ峠
anano- かんかん帽
anai かんがい
anaiu かんがみる
aniu かんきつ
aniuan かんき出版
anuu かんぐる
aneiueu かんけいづける
anaiu かんさびる
anano かんさんと
aniiu かんじいる
anioeu かんじとれる
ano-aai かんじょうだかい
aniu かんじる
anuu かんする
anuu かんずる
aneno かんぜんと
ano-in かんそうしん
anaai かんだかい
anuu かんづく
anei かんてき
anna かんな
annin かんにん
annui かんぬき
annoui かんの虫
anaii かんばしい
anae かんばせ
anen かんべん
ano かんぽ
anonoaoo-iaa かんぽの宿郡山
anain'o-ino かんら信用金庫
anenueu かんれんづける
ano-ei かん口令
anaai かん高い
ani かん子
anui かん水
ano- かん腸
anu- かん通
anau かん発
anou かん木
an'o- かん養
aeu か月
aou か国
auoi か黒い
aooi か細い
aoai か弱い
ao か所
ao- か条
aon か村
ao- か働
anen か年
ano か乃
ai がい
ai がい
aiie がいして
aiu がいす
aiuu がいする
aien がい旋
aienei がい然性
aenuu がえんずる
aai がかり
ai がき
au- がぎゅう
auno がくんと
auen がく然
ae がけ
ae がけ
aeui がけっぷち
aeuue がけ崩れ
aaaa がさがさ
aaaa がさがさ
aau がさつ
auu がする
aen がぜん
aa がた
aai がたい
aaaa がたがた
aaaa がたがた
aauu がたつく
aano がたんと
ai がち
aiai がちがち
aai がっかり
aui がっくり
aii がっしり
aii がっちり
auu がっつく
auau がつがつ
aniaa がに股
aao がばと
auau がぶがぶ
auio がぶりと
auu がぶる
aunoi がぶ飲み
aa がま
aa がま
aan がまん
aanuoi がまん強い
aaui がま口
aiai がみがみ
ae がめ
aeui がめつい
aeu がめる
aaaa がやがや
aa がら
aa がら
aaaa がらがら
aaaaei がらがら蛇
aaua がらくた
aao がらっと
aaai がらっぱち
aai がらみ
aai がらり
aan がらん
aano- がらんどう
aaai がら空き
aao- がら紡
aian がり版
ae がれ
aei がれき
aaa がわら
aai がわり
an がん
anan がんがん
anano がんがんと
aniaae がんじがらめ
anenai がんぜない
anoie がんとして
anau がんばる
anaeu がんばれる
anai がんらい
anu がん具
anau がん作
iaau きあわす
iaaeu きあわせる
i-i-oe きいきい声
iioi きいろい
iio きい子
ie きえ
ieiu きえいる
ieueu きえうせる
ieau きえさる
ienoou きえのこる
ieaeu きえはてる
ieu きえる
ieo きえ子
ioiau きおいたつ
iou きおう
iaau きかかる
iaau きかざる
iaaeu きかざれる
iau きかす
iaeu きかせる
ianao-au きかんしゃトーマス
iano- きかん坊
iaeu きがえる
iaaeu きがまえる
iaui きがるい
ii きき
iiaiu ききあきる
iiaaeu ききあわせる
iiiu ききいる
iiieu ききいれる
iiou ききおく
iioou ききおよぶ
iiaeu ききかえす
iiaiu ききかじる
iiuuii ききぐるしい
iiou ききこむ
iioeu ききこめる
iiuou ききすごす
iioonau ききそこなう
iiaau ききただす
iiaaeu ききただせる
iiau ききだす
iiaeu ききだせる
iiueu ききつける
iiuai ききづらい
iioaeu ききとがめる
iioeu ききとれる
iinaau ききながす
iiniui ききにくい
iiauu ききはずす
iioeu ききほれる
iioau ききもらす
io-ai ききょう台
iiaeu ききわける
iiae きき酒
iu きく
iu きく
iue きくえ
iuuu きくする
iunaau きくならく
iuno きくの
iui きくみ
iuo きくよ
iue きくゑ
iue きく江
iuo きく子
iuo きく代
iuie きく姫
iuu きぐす
ieu きける
ioeu きこえる
ioieu きこしめす
iou きこす
ionau きこなす
ionaeu きこなせる
iou きこむ
iau きさく
iano きさの
iao きさ子
ia きざ
iau きざす
iaoi きざっぽい
iaai きざはし
iaiou きざみこむ
iaeu きざめる
iaai きざ柿
iiu きしむ
iieu きしめく
ioi きしょい
iiu きしる
iio きし子
ii きじ
iuu きする
iuiaeu きずきあげる
iueu きずける
iuuu きずつく
iuueu きずつける
iuna きずな
iuao きず跡
ieu きせる
ien きせん
ieaii きぜわしい
ieno きぜんと
iou きそう
ioeu きそえる
iouaaii きそくただしい
iouau きそくだつ
ia きた
iaii きたいち
iaeaeu きたえあげる
iaeu きたえる
iaiiuue きたきり雀
iau きたす
ianai きたない
ianaaii きたならしい
iau きたる
iau きたる
ian きたん
ia きだ
ii きち
iiii きちきち
iio きちっと
io- きちょー
io-en きちょう面
iio きちよ
iin きちん
iino きちんと
iio きち子
iai きっかい
iai きっかり
io- きっこう
iuu きっする
iii きっちり
io きっと
iai きっぱり
iaio きっぱりと
iu きっぷ
io- きっ抗
iui きつい
iueu きつける
iuui きつつき
iune きつね
iunenooeii きつねの嫁入り
iuo きつよ
iuo きつ子
iuau きづかう
iuu きづく
iuoi きづよい
iou きどる
inauai きなくさい
inao きなこ
inaau きなさる
inauai きな臭い
inao きな粉
inu きぬ
inue きぬえ
inuaa きぬがさ
inuaa きぬがさ
inuo きぬこ
inuo きぬよ
inue きぬゑ
inue きぬ江
inuo きぬ子
ineua きねづか
ineo きね子
ino きの
ino- きのう
inoe きのえ
inouniin'o-ino きのくに信用金庫
inoouo きのこ雲
ino- きのふ
inoe きのゑ
inoi きの字
iaieu きはじめる
iauaii きはずかしい
ia きば
iau きばむ
iau きばる
iaeu きばれる
iiii きびきび
iiii きびしい
iuueu きぶくれる
iaie きまじめ
iaui きまずい
iae きまって
iai きまり
iau きまる
ii きみ
ii きみ
iii きみい
iie きみえ
iiaaui きみがわるい
iio きみこ
iino きみの
iio きみよ
iiaui きみわるい
iie きみゑ
iie きみ江
iio きみ子
iie きみ枝
iuuaii きむずかしい
iuuaii きむづかしい
ieoaai きめこまかい
ieou きめこむ
ieueu きめつける
ieu きめる
ieoaa きめ細か
ieoaai きめ細かい
iee きめ手
ioaa きもっ玉
ioo きもと
iono きもの
ioii きも煎り
a- きゃー
a-a- きゃあきゃあ
aa きゃしゃ
iaui きやすい
u- きゅう
u-uu きゅうする
uui きゅうり
u-au きゅう覚
u-a きゅう舎
uo きゅっと
uian きゅりあん
o- きょう
o-iuai きょうみぶかい
ouio-uu きょくひ動物
ouou きょくりょく
oooo きょときょと
oono きょとんと
ooio きょろりと
io きよ
ioi きよい
ioi きよい
ioe きよえ
ioo きよこ
ioi きよし
ioi きよじ
ioe きよせ
iono きよの
ioau きよまる
ioeu きよめる
ioe きよゑ
ioe きよ江
ioo きよ子
iono きよ乃
ioi きよ美
iai きらい
iai きらい
iau きらう
iaia きらきら
iau きらす
iau きらず
iaiaa きらびやか
iaeau きらめかす
iaeu きらめむ
iai きらり
iaaeu きらわれる
ii きり
ii きり
iiau きりあう
iiaeu きりあげる
iioou きりおとす
iiooeu きりおとせる
iiaeu きりかえす
iiiiai きりきり舞い
iiiiu きりぎりす
iiuuu きりくずす
iioaau きりこガラス
iiainau きりさいなむ
iiooeu きりそろえる
iiaou きりたおす
iiaeu きりたてる
iiau きりだす
iiaeu きりだせる
iio きりっと
iioeu きりとれる
iinai きりなし
iinoao きりの里
iiauu きりはずす
iiueu きりふせる
iiauu きりまくる
iiuuu きりむすぶ
iiiano きりりしゃんと
iiio きりりと
iiaueu きりわすれる
iin きりん
iio きり子
iu きる
iu きる
ieaau きれあがる
iei きれい
ieioo きれい事
ieou きれこむ
ieu きれる
ia きわ
iaaau きわだたす
iaoi きわどい
iaau きわまる
iaeu きわめる
iaaa きわやか
iao きわ子
iaau きわ立つ
ie きゑ
ieo きゑ子
in きん
ina きんか
inan きんかん
inin きんきん
inai きんざい
inu きんしゅ
iniu きんじる
inuu きんずる
inena きんせん花
inen きんでん
inoi きんとき
inouei きんもくせい
ino きん子
ie き江
ien き然
ion き損
ino き乃
ienin ぎえん金
iuio ぎくりと
ioi ぎこち
ioinai ぎこちない
ioi ぎごち
iiiau ぎしきばる
iiii ぎしぎし
iiouena- ぎじろくセンター
iu ぎす
iuu ぎする
iuioi ぎっくり腰
iii ぎっしり
io ぎっちょ
ii ぎみ
iuueu ぎむづける
a- ぎゃあ
a-a- ぎゃあぎゃあ
u-u- ぎゅうぎゅう
u-ue ぎゅう詰め
uo ぎゅっと
o ぎょ
oi ぎょい
o-o-ii ぎょうぎょうしい
o-ei ぎょうせい
oo ぎょぎょ
oa ぎょしゃ
ouu ぎょする
oo ぎょっと
oooo ぎょろぎょろ
ooio ぎょろりと
iaia ぎらぎら
iauu ぎらつく
iai ぎらり
iiaai ぎりがたい
iiii ぎりぎり
ioo ぎろっと
iniu ぎんじる
inuu ぎんずる
innan ぎんなん
uau く・ら・ぶ
uiau くいあう
uiaau くいあらす
uiaaaeu くいあらためる
uiiu くいいる
uiiu くいきる
uiou くいこむ
uioeu くいこめる
uiaau くいさがる
uiaaeu くいさがれる
uiiau くいしばる
uiaou くいたおす
uiiau くいちがう
uiiau くいちらす
uiuu くいつく
uiueu くいつめる
uioeu くいとめる
uinoau くいのばす
uiu くいる
uio くいッと
uiou くい込む
uioeu くい止める
uie くい瀬
uu くう
ueu くえる
ui くぎ
uiaui くぎかくし
uiu くぎる
uieu くぎれる
uueu くくめる
uuu くくる
uuau くぐまる
uuou くぐもる
uuinueu くぐりぬける
uueu くぐれる
ueu くける
uai くさい
uai くさい
uaua くさくさ
uau くさす
uai くさび
uauai くさぶかい
uauu くさむす
uaau くさらす
uaeen くされ縁
ui くし
uiuo くしくも
uieuu くしけずる
uiaa くし山
uiai くし焼き
ui くじ
uiu くじく
uieu くじける
uau くじゃく
uia くじら
uiu くじる
uiii くじ引き
uiun くじ運
uinoaa くじ野川
uui くすい
uuuu くすくす
uuuai くすぐったい
uuuu くすぐる
uuneu くすねる
uunoiai くすのき台
uuuu くすぶる
uueu くすべる
uuu くすむ
uui くすり
uuaa くす玉
uu くず
uu くず
uuoeu くずおれる
uuao くずかご
uuiai くずし書き
uueu くずせる
uueoiu くずれおちる
uueu くずれる
uueu くず鉄
uuo くず粉
uuai くず米
uuoi くず餅
ue くせ
ue くせ
ueono くせ者
uee くせ毛
uooo- くそ度胸
uoiaa くそ力
uaua くたくた
uaaioonai くたばり損ない
uaieu くたびれる
ua くだ
uau くだく
uaeu くだける
uaau くださる
uaeu くだせる
uaanai くだらない
uau くだる
uan くだん
uii くちい
uiuuai くちうるさい
uioii くちおしい
uiaai くちがたい
uioou くちごもる
uiaanai くちさがない
uiuaa くちずから
uiuau くちずさむ
uinai くちなし
uiaeu くちはてる
uiaaai くちはばったい
uiai くちばし
uiiu くちびる
uaua くちゃくちゃ
uao くちゃ代
uiaaaii くちやかましい
uiu くちる
uii くっきり
uiio くっきりと
uuu くっする
uau くったく
uuu くっつく
uueu くっつける
uu くつ
uuaeu くつがえす
uuaeu くつがえる
uuia くつした
uuou くつろぐ
uuoeu くつろげる
uuia くつ下
uo くど
uoi くどい
uoioou くどきおとす
uoeu くどける
uni くに
uni くに
unio くにこ
unao くにゃっと
unio くによ
unie くにゑ
unie くに江
unio くに子
unuiaa くぬぎ山
uneune くねくね
uneu くねる
unoii くの一
uaiauu くばりあるく
uaeu くばれる
uiii くびっぴき
uieu くびれる
ueu くべる
uoi くぼち
uoau くぼまる
uoeu くぼめる
ua くま
uaaa くまだか
uanoi くまの胆
uai くま井
ui くみ
ui くみ
uiau くみあう
uiaaeu くみあわせる
uiieu くみいれる
uiaeu くみかえる
uioeu くみこめる
uiiu くみしく
uiuu くみする
uiaeu くみたてる
uiau くみだす
uiaeu くみだせる
uiuu くみつく
uioeu くみとれる
uinaou くみなおす
uinaoeu くみなおせる
uiueu くみふせる
uiou くみほす
uio くみ子
uioi くみ取り
uioeu くみ取れる
uiau くみ出す
uiaeu くみ出せる
uiaeu くみ上げる
uu くむ
ue くめ
ue くめ
ueuoi'iuoauu くめ・クオリティ・プロダクツ
ueu くめる
ueo くめ子
uo くも
uoau くもらす
uou くもる
uonuan くもん出版
uoau くも膜
uaii くやしい
uainaia くやし涙
uau くやむ
uuau くゆらす
uuaeu くゆらせる
uai くらい
uaiuu くらいつく
uau くらう
uaeu くらえる
uaua くらくら
uae くらげ
uai くらし
uaeu くらせる
uano くらの
uau くらぶ
uaeu くらべる
uaau くらます
uau くらむ
uao くらよ
uaau くらわす
uaaeu くらわせる
uao くら子
uaae くら替え
ui くり
uiaeu くりあげる
uiaaeu くりあわせる
uiieu くりいれる
uiaeu くりかえす
uioeu くりこめる
uiaeu くりさげる
uiau くりだす
uiaeu くりだせる
uinuu くりぬく
uinoeu くりのべる
uiioeu くりひろげる
uiaau くりまわす
uau くりゃる
uioeu くりよせる
uinuu くり貫く
uinueu くり貫ける
uiioeu くり広げる
uiau くり出す
uiaeu くり上げる
uinuu くり抜く
uu くる
uu くる
uuu くるう
uuoii くるおしい
uuuu くるくる
uuii くるしい
uuieu くるしめる
uuui くるぶし
uuau くるまる
uueu くるめる
uuio くるりと
uuaii くるわしい
uuau くるわす
ueue くれぐれ
ueueo くれぐれも
uenoou くれのこる
ueu くれる
uoi くろい
uoane くろがね
uoaneo-auo くろがね工作所
uouu くろずむ
uooi くろっぽい
uoiaau くろみがかる
uoeu くろめる
uoaia くろダイヤ
uoan くろパン
uoi-u くろビール
uaeou くわえもつ
uaeu くわえる
uaaaui くわがた虫
uaii くわしい
uaeu くわせる
uaaeu くわだてる
uaau くわわる
un くん
unuu くんずる
uno- くん蒸
unei くん製
u-no ぐーんと
uiui ぐいぐい
uio ぐいっと
uio ぐいと
uinoi ぐい飲み
uinoi ぐい呑
u-uu ぐうする
u-aaaa ぐうたらママ
uai ぐさり
uaio ぐさりと
uaua ぐしゃぐしゃ
uao ぐしゃっと
uouo ぐしょぐしょ
uonue ぐしょ濡れ
uinui ぐし縫
uaua ぐじゃぐじゃ
uaua ぐじゃぐじゃ
uuuu ぐじゅぐじゅ
uuu ぐする
uuuu ぐずぐず
uuuu ぐずつく
uuu ぐずる
uaua ぐたぐた
uaua ぐちゃぐちゃ
uaua ぐちゃぐちゃ
uiu ぐちる
uoi ぐっしょり
uui ぐっすり
uuio ぐっすりと
uai ぐったり
uo ぐっと
uuuu ぐつぐつ
unauna ぐにゃぐにゃ
unauna ぐにゃぐにゃ
uiui ぐびぐび
uinoi ぐみの木
uaua ぐらぐら
uai ぐらし
uauu ぐらつく
uai ぐらり
uiui ぐりぐり
uiui ぐりぐり
uiaa ぐりはま
uu ぐる
uuuu ぐるぐる
uuo ぐるっと
uui ぐるみ
ueaa ぐれはま
ueu ぐれる
uo- ぐろう
unun ぐんぐん
uno ぐんと
eaeu けあげる
ei けい
eio けいこ
eiooo けいこごと
eiai けいざい
eiue けいすけ
eiuu けいする
eio- けいぞう
eio けいと
eiu-o-in けいゆう病院
eien けいれん
eiou けい骨
eio けい子
eiui けい椎
eio-au けい動脈
eu けう
euoi けうとい
eoaeu けおされる
eoou けおとす
eooeu けおとせる
eaeu けかえす
eau けがす
eaaaii けがらわしい
eaeu けがれる
eanin けが人
een けげん
eano けさの
eai けさみ
eao けさよ
eao けさ子
eaaa けざやか
eiaeu けしかける
eiiau けしきばむ
eiou けしとぶ
eioeu けしとめる
eiou けしゴム
eiou けし飛ぶ
eie けじめ
eu けす
euiaou けずりたおす
eueu けずれる
eeu けせる
ea けた
eaou けたおす
eaaaii けたたましい
eaeu けたてる
eaae けた上げ
eau- けた数
eaoui けた送り
eaeu けた別
eaai けだかい
eai けだし
eau けだす
eaui けだるい
ei けち
eiaeu けちがえる
eiu けちる
eino- けちん坊
eiai けぢかい
eu けっく
eo- けっこう
eie けっして
euu けっする
eeiueu けっていづける
eoau けっとばす
euen けつぜん
euauu けつまずく
euan けつ岩
eoau けとばす
eou けどる
enau けなす
eaeaii けばけばしい
eaau けばだつ
euai けぶかい
euu けぶる
eai けまり
eiuu けみする
eu けむ
eui けむい
euai けむたい
euaau けむたがる
euniau けむにまく
euu けむる
eonoen けものへん
eainooi けやきの森
eaiaia けやき平
eauu けやぶる
eai けや木
ea けら
eu ける
een けれん
eoio けろりと
eai けわい
eaii けわしい
en'ii けんいち
ena けんか
enaoi けんか腰
enenuuo- けんけんふくよう
eniiau けんしきばる
eniu けんじる
enuu けんする
enuu けんずる
eniniu けんちん汁
enio- けんび鏡
eno- けんぽう
enau けんまく
enei けんめい
enoooo けんもほろろ
enan けんらん
en'in けん引
enaa けん玉
eno けん子
enu- けん銃
enei けん制
enei けん責
eno- けん騒
enai けん怠
enaii けん怠期
enen けん伝
enou-ai けん土重来
enoo-ai けん土重来
eni けん二
enan けん盤
eoau け飛ばす
eoou け落とす
eooeu け落とせる
e げ
eio げいこ
eiuu げきする
eiei げじげじ
eieiau げじげじ眉
euau げすばる
euu げする
ea げた
eaao げた箱
e' げっ
eoi げっそり
eei げっぺい
eni げに
eiu げびる
ena げんか
eni げんき
enou げんこつ
eniu げんじる
enuu げんずる
ennaa げんなま
ennai げんなり
enni げんに
enan げんまん
eni げん気
oi こい
oioaeu こいこがれる
oii こいし
oiiau こいしたう
oiuu こいする
oiu こいつ
oineau こいねがう
oineaaua こいねがわくは
o- こう
ou こう
ou こう
o-uu こういう
o-u こうる
ouuai こうるさい
o-an こう丸
o-on こう門
oeu こえる
oooi こおどり
o-iuu こおりつく
o-oi こおろぎ
oooi こおろぎ
oau こかす
oau こがす
oane こがね
oaneaoa こがねが丘
oaeu こがれる
oioou こきおろす
oiuau こきつかう
oiuaeu こきつかえる
oiaeu こきまぜる
oioou こき下ろす
oiuau こき使う
oiuaeu こき使える
oianai こぎたない
oiueu こぎつける
oiu こぎる
oin こぎん
oiuu こぎ着く
oiueu こぎ着ける
ou こく
ouou こくこく
ouuu こくする
oua こくら
ouaiai こくらひがし
ou こぐ
ouai こぐらい
ouaau こぐらかる
oei こけし
oeuu こけむす
oeaooi こけら落し
oeu こける
oeuai こげくさい
oeuau こげつかす
oeuu こげつく
oeu こげる
oo ここ
ooia ここいら
ooa ここだ
ooioi ここちよい
ooa ここら
ooooai こころよわい
ooeu こごえる
ooeu こごめる
oou こごる
oaeu こさえる
oaaii こざかしい
oaoen こざとへん
oiaeu こしかける
oo- こしょう
oiaeu こしらえる
oiaeoo こしらえ事
oian こし餡
oiaeu こじあける
oiueu こじつける
oiau こじらす
